key;en-GROUP;hu-HU-x-HU text
firstInstall.wiredNetworkScreen.description;Connect your Ethernet cable to set up your network.;Csatlakoztasd az Ethernet-kábelt a Vodafone Mediaboxból a routerbe
settings.remote.batteryStatus.low;Your battery status is low.;Kérjük, helyezz be új elemeket
settings.network.wifi;WiFi;Wi-Fi
firstInstall.wiredNetworkFoundScreen.description;You're now connected.;Sikeres csatlakozás
settings.remote.remotePairNewDevice.step1.description;To pair your TV box and remote, hold the 1 and yellow buttons together for 5 seconds.;Kérjük, tartsd lenyomva az 1-es és a sárga gombokat egyidejűleg 5 másodpercig
firstInstall.pairingPinInputScreen.description;Something went wrong, sorry – please call us on 08080 034 515;Az üzembehelyezés befejezéséhez kérjük, vedd fel a kapcsolatot az Ügyfélszolgálattal!
popups.reboot.title;Sorry, your box needs to reboot.;Kérjük, indítsd újra a Vodafone Mediaboxot!
settings.powerSaving.autoStandbyTime.hint;Remember, increasing auto standby time will use more power.;Megjegyzés: az automatikus készenléti idő növelésével az eszköz több energiát fogyaszt
popups.upgrade.misc;Your box will reboot;A Vodafone Mediabox hamarosan újraindul %1
firstInstall.wiredNetworkScreen.title;Network;Internetkapcsolat
settings.parentalPin.on;On;Bekapcsolás
settings.parentalPin.off;Off;Kikapcsolás
firstInstall.wiredNetworkSearchScreen.title;Network;Hálózat
firstInstall.scanSummaryScreen.title;Channels scanned;Csatornák
settings.termsAndConditions.view;Read our Ts&Cs;Jogi feltételek
settings.parentalPinInit;Your default PIN is 1234. We recommend you choose a new one now.;A PIN kódokról további információ elérhető a következő honlapon: vodafone.hu/tv
settings.network.lan.connected;Connected;Csatlakoztatva
firstInstall.remotePairingScreen.title;Remote pairing;Távirányító párosítása
firstInstall.wifiNetworkConnectingScreen.title;Network;Wi-Fi
firstInstall.wifiNetworkSelectScreen.title;Network;Wi-Fi
firstInstall.wifiKeyboardScreen.title;Network;Wi-Fi
firstInstall.getHelpScreen.wifi.title;Network;Wi-Fi
firstInstall.finishSetupScreen.title;Your devices;Eszközeid
notification.recording.notAllow;Sorry, you can't record this programme;A felvétel nem lehetséges. Nincs előfizetésed
settings.parentalAndPaiment;Payment & controls;Díjak és szabályok
settings.audioAndVisual.screenResolution;Screen resolution;Képernyőfelbontás
pinEntry.more;See more on PINs in Settings.;További információ: vodafone.hu/tv
firstInstall.wifiNetworkFoundScreen.description;Your TV box is now connected to Wi-Fi.;Vodafone Mediabox <br/>csatlakoztatva
settings.remote.remotePair;Pair;Párosítás
settings.remote.remoteUnpair;Unpair;Párosítás megszüntetése
firstInstall.getHelpScreen.channels.title;Channels;Csatornák
settings.parentalControls.ageRating.info;Choosing PIN protection for age-rated programmes will also protect any recordings after 9pm.;
rails.morefrom;More from;Még több %1
firstInstall.startChannelsScanScreen.title;Channels;Csatornák
settings.parentalAndPaiment.parentalPin;PIN;PIN kód
settings.parentalPin;PIN;PIN kód
firstInstall.wiredNetworkFoundScreen.title;You're connected;Csatlakoztatva
firstInstall.wifiNetworkFoundScreen.title;You're connected;Wi-Fi csatlakoztatva
keyboard.parentalPin.enter.placeholder;Please enter your new 4-digit PIN;Add meg az új négyjegyű PIN kódodat
keyboard.parentalPin.reEnter.placeholder;Please re-enter your new 4-digit PIN;Add meg újra az új négyjegyű PIN kódodat
settings.network.wps;WPS;WPS
programInfo.actionButtons.moreRecordSeriesOptions;Record series;Sorozatrögzítés
firstInstall.manualNetworkConfigurationScreen.title;Network;Hálózat
common.help;Help;Segítség
keyboard.wifi.password.placeholder;Enter WiFi password;Add meg a Wi-Fi-jelszavadat
settings.masterPin.changed;Your PIN's changed;PIN kód megváltoztatva
settings.systemConfigurations.ledBrightness;Brightness;LED fényerő
settings.network.lan;LAN;LAN
settings.ledBrightness;Brightness;LED fényerő
settings.adjustBrightness;Adjust brightness;Fényerő módosítása
change volume;Press +/- to change volume;A hangerő szabályozásához nyomd meg a  +/-  gombot
firstInstall.helloScreen.title.foundAccount;Hi;Szia!
firstInstall.startChannelsScanScreen.description;To set up your TV and radio channels, first make sure your TV aerial is connected.;A csatornakeresés az otthonodban elérhető <br/> TV- és rádiócsatornákat jeleníti meg.
settings.audioDescription.off;Off;Kikapcsolás
settings.subtitles.off;Off;Kikapcsolás
settings.powerSaving.quickBoot.on;On;Bekapcsolva
settings.powerSaving.quickBoot.off;Off;Kikapcsolva
common.done;Done;OK
firstInstall.remotePairingSuccessScreen.description;Your TV box is now paired with your remote.;A távirányító párosítva a <br/> Vodafone Mediabox-szal
settings.recordings.boxSpace;Storage;Tárhely
settings.remote.batteryStatus.view;View status;Az elem töltöttségének megtekintése
programInfo.catchup.watch;Watch;Lejátszás
programInfo.watch;Watch;Lejátszás
badging.parentalLock.on;Parental lock on; Gyerekzár miatt zárolva (Beállítások/Gyerekzár)
firstInstall.operatorPairingScreen.title;Please call us;Lépj kapcsolatba velünk!
firmwareUpdate.description.countdown;Update starts in:;A Vodafone Mediabox újraindul: %1
settings.masterPin.turnOff;PIN off;PIN kód kikapcsolás
settings.masterPin.turnOn;PIN on;PIN kód bekapcsolás
settings.masterPin.changePin;Change your PIN;PIN kód megváltoztatása
settings.systemConfigurations.updates.upToDate;You already have the latest updates.;Nincs elérhető frissítés.
settings.lockedChannels;Locked channels;Zárolt csatornák
mytv.recordings;Recordings;Felvételek
mytv.purchasesAndRentals;Purchases & rentals;Kölcsönzések
programInfo.actionButtons.moreRecordOptions;Record episode;Rögzítés
programInfo.actionButtons.buyLabel;Buy;Vásárold meg: %1
programInfo.actionButtons.rentLabel;Rent;Kölcsönözd ki: %1
programInfo.actionButtons.bought;Purchased;Megvásárolt
programInfo.actionButtons.rented;Rented;Kölcsönzött
badging.parentalLock.off;Parental lock off;Nem zárolt
badging.recordable;Available to record;Rögzíthető műsor
firstInstall.wifiNetworkSelector.joinOtherNetwork;Join other network;Csatlakozás másik hálózathoz
firstInstall.buttons.getHelp;Get help;Segítség
firmwareUpdate.description.inProgress;Updating now, please wait.;Türelmet kérünk, a Vodafone Mediabox frissítése folyamatban
settings.masterPin.turnedOff;PIN off;PIN kód kikapcsolva
settings.masterPin.turnedOn;PIN on;PIN kód bekapcsolva
settings.parentalControls.lockedChannels;Lock channels;Csatornák zárolása
settings.network.joinOtherNetwork;Join other network;Csatlakozás másik hálózathoz
popups.wifi.buttons.getHelp;Get help;Segítség
common.tryAgain;Try again;Újrapróbál
firstInstall.remotePairingSuccessScreen.title;Now paired;Párosítva
firstInstall.buttons.wifi;WiFi;Wi-Fi
firstInstall.buttons.backToWifiList;Back to WiFi list;Vissza
firstInstall.buttons.abort;Stop;Leállítás
keyboard.wifi.ssid.placeholder;Enter network name:;Add meg a hálózat nevét:
settings.masterPin.whats;See your PIN;Információ a PIN kódról
settings.informations.OUI;OUI;OUI
settings.informations.updateStatus;Last system software update:;Az utolsó szoftverfrissítés állapota
settings.informations.chipID;ID;Azonosító
settings.parentalControls.ageRating;Age rating;Korhatár besorolás
settings.parentalControls.whats;See your PIN;Információ a PIN kódról
settings.parentalControls.okay;Okay;OK
settings.lockedChannels.permitted;Allowed;Engedélyezve
settings.boxSpaceProgression;You're using %1% of your available space;A rendelkezésre álló órákból %1%  felhasználva
settings.remote.itsPaired;Now paired;Párosítva
popups.storage.buttons.buyMore;Buy more storage;További információk
popups.settings.audioAndVisual.screenResolution;Save resolution?;Mented a beállításokat?
rails.notitle;No title;Nincs cím
badging.recording;Recording;Felvétel
notification.seriesRecording.start;Schedule series recording;Sorozatrögzítés beállítása
watch;Watch;Lejátszás: %1
volume;Volume:;Hangerő
Today;Today;Ma
Tomorrow;Tomorrow;Holnap
Yesterday;Yesterday;Tegnap
locked;Locked;Zárolva
mainMenu.myTV.title;MY TV;Műsoraim
mainMenu.browse.title;ON DEMAND;FILMEK, SOROZATOK
mainMenu.myTVCoverflow.title;Watch next;Lejátszás folytatása
mainMenu.appsCoverflow.title;MY apps;Továbbiak megtekintése
mainMenu.tvGuide.title;TV GUIDE;MŰSORÚJSÁG
mainMenu.apps.title;APPS;ALKALMAZÁSOK
mainMenu.search;Search;KERESÉS
mainMenu.settings;Settings;BEÁLLÍTÁSOK
mainMenu.allChannelsTvGuide.title;All channels;Összes csatorna
common.noData;No information;Nincs elérhető információ
common.noItem;No item;Nincs elérhető tartalom
common.onNow;On now;Műsoron
common.launchApp;Launch app;Indítás
common.launch;Launch;Indítás
common.onNext;On next;Utána
common.onLater;On later;Később műsoron
common.onTomorrow;On tomorrow;Holnap műsoron
common.today;Today;Ma
common.tomorrow;Tomorrow;Holnap
common.yesterday;Yesterday;Tegnap
common.continue;Continue;Folytatás
common.popular;Popular;Népszerű
common.cancel;Cancel;Visszavonás
common.yes;Yes;Igen
common.no;No;Nem
common.skip;Skip;Átugrás
common.notAvailable;Not available;Nem elérhető
common.okay;Okay;OK
common.noSynopsis;Synopsis unavailable;Összefoglaló nem érhető el
common.channel;channel;Csatorna
common.channels;channels;Csatorna
language.eng;English;English
language.fra;Français;Francais
language.ita;Italiano;Italiano
language.deu;Deutsch;Deutsch
language.spa;Español;Español
language.swe;Svenska;Svenska
language.tur;Türk;Kiegészítő felirat
liveScreen.noChannel;Channel unavailable;Csatorna nem elérhető
date.format.smallday0;Sun;V
date.format.smallday1;Mon;H
date.format.smallday2;Tue;K
date.format.smallday3;Wed;Sze
date.format.smallday4;Thu;Cs
date.format.smallday5;Fri;P
date.format.smallday6;Sat;Szo
date.format.day0;Sunday;Vasárnap
date.format.day1;Monday;Hétfő
date.format.day2;Tuesday;Kedd
date.format.day3;Wednesday;Szerda
date.format.day4;Thursday;Csütörtök
date.format.day6;Saturday;Szombat
date.format.smallmonth0;Jan;Jan.
date.format.smallmonth1;Feb;Feb.
date.format.smallmonth2;Mar;Márc.
date.format.smallmonth3;Apr;Ápr.
date.format.smallmonth4;May;Máj.
date.format.smallmonth5;Jun;Jún.
date.format.smallmonth6;Jul;Júl.
date.format.smallmonth7;Aug;Aug.
date.format.smallmonth8;Sep;Szept.
date.format.smallmonth9;Oct;Okt.
date.format.smallmonth10;Nov;Nov.
date.format.smallmonth11;Dec;Dec.
date.format.month0;January;Január
date.format.month1;February;Február
date.format.month2;March;Március
date.format.month3;April;Április
date.format.month4;May;Május
date.format.month5;June;Június
date.format.month6;July;Július
date.format.month7;August;Augusztus
date.format.month8;September;Szeptember
date.format.month9;October;Október
date.format.month10;November;November
date.format.month11;December;December
network.error.ssid.tooShort;Network name too short, please enter another one and try again.;A megadott hálózati név túl rövid. Kérjük, próbáld újra!
network.error.password.tooShort;Password is too short, please enter another one with more digits and try again.;A megadott jelszó túl rövid. Kérjük, add meg újra!
firstInstall.languageScreen.title;Language;Nyelv
firstInstall.remoteUnPairingScreen.title;Remote pairing;Távirányító párosítása
firstInstall.helpBar.toSelect;Choose;Válassz
firstInstall.helpBar.toGoBack;Back;Vissza
firstInstall.wifiNetworkSelectScreen.description;Press the WPS button on your TV box until the connection confirmation screen appears, or enter your Wi-Fi details:;Add meg a Wi-Fi adatait:
firstInstall.wifiKeyboardScreen.ssid.description;Enter network name:;Add meg a hálózat nevét:
firstInstall.wifiKeyboardScreen.password.description;Enter Wi-Fi password:;Add meg a jelszót:
firstInstall.wifiNetworkSelector.searchAgain;Search again;Újrakeresés
firstInstall.helloScreen.title.searchingAccount;One moment;Csatlakozás
firstInstall.conflictedChannelsFoundScreen.title;Channels;Csatornák
firstInstall.conflictedChannelsFoundScreen.description;Your aerial is picking up multiple regions for %1 %2. Please choose:;A<br/> %1 %2 csatorna több régióban elérhető. Kérjük válassz:
firstInstall.resolveChannelConflictScreen.title;Channel %1;%1 csatorna
firstInstall.resolveChannelConflictScreen.description;Please choose one of the following options:;Kérjük, válassz ki az alábbiak közül egyet:
firstInstall.conflictResolutionConfirmScreen.title;Confirm channels;Csatornák megerősítése
firstInstall.conflictResolutionConfirmScreen.description;Please confirm your chosen channels:;Kérjük, erősítsd meg a kiválasztott csatornákat:
firstInstall.buttons.pairLater;Pair later;Párosítás később
firstInstall.buttons.connect;Connect;Csatlakozás
firstInstall.buttons.ethernet;Ethernet;Ethernet
firstInstall.buttons.tryAgain;Try again;Újrapróbál
firstInstall.buttons.tryAgainDHCP;Try again with DHCP;Újrapróbál (DHCP)
firstInstall.buttons.connectWifi;Connect with WiFi;Csatlakozás Wi-Fi-n keresztül
firstInstall.buttons.advanced;Advanced;Haladó
firstInstall.buttons.continue;Continue;Folytatás
firstInstall.buttons.next;Next;Következő
firstInstall.buttons.confirm;Confirm;Megerősítés
firstInstall.buttons.startScanning;Start scanning;Keresés indítása
firstInstall.buttons.finishSetup;Finish setup;TV nézés
firstInstall.buttons.skip;Skip;Kihagyás
firstInstall.buttons.startWatching;Start watching;Lejátszás indítása
firstInstall.buttons.autoSelect;Auto select;Automatikus kiválasztás
firstInstall.buttons.customSelect;Custom select;Egyéni kiválasztás
firstInstall.helpBar.help;Help;Segítség
keyboard.masterPin.enter.placeholder;Please enter your new 4-digit PIN;Kérjük, add meg az új négyjegyű PIN kódodat
keyboard.masterPin.reEnter.placeholder;Please re-enter your new 4-digit PIN;Kérjük, add meg újra a PIN kódodat
keyboard.lockedChannels.placeholder;Channel number;Csatornaszám
firmwareUpdate.title;Please wait while your box updates.;A Vodafone Mediabox frissítése, türelmet kérünk
firmwareUpdate.buttonsBar.updateNow;Update now;Frissítés most
settings.masterPin;PIN;PIN kód
settings.masterPin.okay;Okay;OK
settings.masterPin.changeMyPin;Change your PIN;PIN kód megváltoztatása
settings.masterPin.whats.popup;Your default PIN is 1234;További információ elérhető a vodafone.hu/tv oldalon
settings.parentalAndPaiment.paymentPin;PIN;PIN kód
settings.recordings;Recordings;Felvételek
settings.recordings.deleteAll;Delete all;Összes törlése
settings.recordings.delete.dont;Don't delete all;Ne törölje az összeset
settings.recordings.activate.dont;Don't activate;Ne aktiválja
settings.recordings.autoDelete;Auto delete;Automatikus törlés
settings.recordings.buySpace;Buy space;További információk
settings.language;Language;Nyelv
settings.accessibility;Accessibility;Kiegészítő lehetőségek
settings.accessibility.audioDescription;Audio description;Audionarráció
settings.accessibility.subtitles;Subtitles;Feliratok
settings.termsAndConditions;Terms & conditions;Felhasználási feltételek
settings.termsAndConditionsPageTitle;Terms & conditions;Felhasználási feltételek
settings.systemConfigurations.network;Network;Hálózat
settings.systemConfigurations.remote;Remote;Távirányító
settings.systemConfigurations.tvChannels;TV channels;TV csatornák
settings.systemConfigurations.audioAndVisual;Audio & visual;Hang- és képbeállítások
settings.systemConfigurations.clockSettings;Clock settings;Órabeállítások
settings.clockSettings.hourFormats.12;am / pm;de / du
settings.clockSettings.hourFormats.24;24 hour;24 órás
settings.systemConfigurations.updates;Updates;Frissítések
settings.systemConfigurations.updates.updateAvailable;Software update available. Please wait a few minutes while your TV box restarts and installs the update.;Frissítés elérhető. Kérjük, várj néhány percig, míg a Vodafone Mediabox letölti a frissítést és újraindul.
settings.systemConfigurations.information;Information;Információ
settings.informations.buttons.general;General;Általános
settings.informations.buttons.audioAndVideo;Audio & video;Hang- és képbeállítások
settings.informations.buttons.tvQuality;TV quality;TV minőség
settings.informations.title;Box information;Készülékinformáció
settings.informations.brandName;Brand name;Márkanév
settings.informations.modelName;Model name;Típusnév
settings.informations.hardwareVersion;Hardware version;Hardververzió
settings.informations.softwareVersion;Software version;Szoftververzió
settings.informations.uiVersion;UI version;A felhasználói felület verziója
settings.informations.updateDate;Last system software update:;Utolsó szoftverfrissítés
settings.informations.epgData;EPG data;EPG-adatok
settings.informations.householdID;Household ID;A háztartás azonosítója
settings.informations.usedCapacityEMMC;Used/capacity eMMC;Felhasznált/Rendelkezésre álló eMMC
settings.informations.usbBack;USB back;USB kimenet
settings.informations.activeConnection;Active connection;Aktív kapcsolat
settings.informations.ip;Current IP address;Jelenlegi IP-cím
settings.informations.wired.mac;Ethernet MAC address;Ethernet MAC-cím
settings.informations.wireless.mac;Wireless MAC address;Wi-Fi MAC-cím
settings.informations.serialNumber;Serial number;Szériaszám
settings.informations.router;Router;Router
settings.informations.speedtest;Speed test;Sebességteszt
settings.informations.operationalMode;Operational mode;Működési mód
settings.informations.videoConnectionMode;Video connection mode;Videokapcsolat mód
settings.informations.tvModel;TV model;TV típus
settings.informations.audioConnectionMode;Audio connection mode;Audiocsatlakozási mód
settings.informations.audioOutput;Audio output;Audiokimenet
settings.informations.remoteControlMode;Remote control mode;Távirányító mód
settings.informations.channelNameDVBT;Channel name (DVB-T);DTT csatorna neve
settings.informations.frequency;Frequency;Frekvencia
settings.informations.signalStrength;Signal strength;Jelerősség
settings.informations.ber;BER;BER, bithiba-arány
settings.informations.channelNameOTT;Channel name (over the top);Internetes TV-csatorna neve
settings.informations.abr;ABR;ABR
settings.informations.environment;Environment;Környezet
settings.parentalControls;Parental controls;Gyerekzár
settings.parentalControls.whats.popup;Your default PIN is 1234. When it’s turned on, you’ll be asked to enter it when you make payments and some settings changes like turning parental controls on/off.;A PIN kódod alapbeállítása %1, javasoljuk, hogy ezt változtasd meg. A PIN kódra szükséged lesz, ha vásárolni szeretnél vagy korhatáros tartalmat szeretnél megtekinteni, amikor a Gyerekzár be van kapcsolva.
settings.lockedChannels.customise;Customise;Beállítások
settings.lockedChannels.unlockAll;Unlock all;Összes feloldása
settings.lockedChannels.locked;Locked;Zárolva
settings.tvChannels.premiumChannels;Premium channels;Prémium csatornák
settings.enterNewPin;Enter new PIN;Kérjük, add meg az új PIN kódodat
settings.reEnterNewPin;Re-enter new PIN;Kérjük, add meg újra az új PIN kódodat
settings.pinConfirmed;PIN confirmed;PIN kód megerősítve
settings.ageRatings.universal;Universal;Univerzális
settings.ageRatings.u;U;U
settings.ageRatings.pg;PG;PG
settings.ageRatings.12;12;12
settings.ageRatings.15;15;15
settings.ageRatings.18;18;18
settings.ageRatings.off;Off;Kikapcsolás
settings.network.searchAgain;Search again;Újrakeresés
settings.network.wps.popup;Press the WPS button on your TV box, then on your router to automatically start pairing.;Kérjük, nyomd meg a WPS gombot előbb a Vodafone Mediaboxodon, majd a routereden
settings.network.lan.connect;Connect;Csatlakozás
settings.network.advanced;Advanced;Haladó
settings.network.advanced.ipAddress;IP address;IP-cím
settings.remote;Remote;Távirányító
settings.remotePairing;Remote pairing;Távirányító párosítása
settings.remote.batteryStatus;Battery status;Elemtöltöttség
settings.remote.batteryStatus.fine;Your battery status is OK;Elemtöltöttség rendben
settings.remote.batteryStatus.sheetTitleview;View status;Elemtöltöttség megtekintése
settings.remote.batteryStatus.sheetSubtitleview;Battery status;Elemtöltöttség
settings.remote.connectionType;Connection type;Kapcsolat típusa
settings.remote.connectionType.IR;IR;IR
settings.remote.connectionType.infrared;Infrared;Infravörös
settings.remote.connectionType.RF;RF;RF
settings.remote.connectionType.radioFrequency;Radio frequency;Rádiófrekvencia
settings.tvChannels.autoScan;Auto scan;Automatikus keresés
settings.tvChannels.startAutoScan;Start auto scan;Keresés indítása
settings.tvChannels.stopAutoScan;Stop auto scan;Keresés leállítása
settings.tvChannels.channelScan;Channel scan;Csatornakeresés
settings.tvChannels.currentlyHave;You currently have:<div class='channelsSummary'><div>%1</div><div>Digital</div><div>%2</div><div>TV</div><div>%3</div><div>Radio</div></div>;Jelenlegi csatornák:<div class='halfSummary'>Szabadon fogható csatornák<div class='channelsSummary'><div>%1 TV</div><div>%2 Rádió</div></div></div><div class='halfSummary'>Internet<div class='channelsSummary'>%3 TV</div></div></div>
settings.tvChannels.currentlyFound;We've found:<div class='channelsSummary'><div>%1</div><div>Digital</div><div>%2</div><div>TV</div><div>%3</div><div>Radio</div></div>;Csatornák:<div class='halfSummary'>Szabadon fogható csatornák<div class='channelsSummary'><div>%1 TV</div><div>%2 Rádió</div></div></div><div class='halfSummary'>Internet<div class='channelsSummary'>%3 TV</div></div></div>
settings.tvChannels.weFound;We found:<div class='channelsSummary'><div>%1</div><div>Digital</div><div>%2</div><div>TV</div><div>%3</div><div>Radio</div></div>;Csatornák:<div class='halfSummary'>Szabadon fogható csatornák<div class='channelsSummary'><div>%1 TV</div><div>%2 Rádió</div></div></div><div class='halfSummary'>Internet<div class='channelsSummary'>%3 TV</div></div></div>
settings.tvChannels.autoSelect;Auto select;Automatikus kiválasztás
settings.tvChannels.customSelect;Custom select;Egyéni kiválasztás
settings.tvChannels.resolveConflict.description;Please confirm your chosen channel:;Melyik csatornát választod?
settings.tvChannels.confirmConflictResolution.description;Please confirm your chosen channels:;Kérjük, erősítsd meg a kiválasztott csatornákat:
mytv.watchnext;Watch next;Lejátszás folytatása
mytv.allRecordings;All recordings;Összes felvétel
mytv.scheduledRecordings;Scheduled recordings;Időzített rögzítések
mytv.allScheduledRecordings;All scheduled recordings;Összes időzített rögzítés
mytv.allPurchasesAndRentals;All rentals & purchases;Összes kölcsönzés
mytv.wishlist;Record;Lejátszási lista
mytv.allWishlist;Recordings;Összes lejátszási lista
mytv.other;Others;Egyéb
apps.apps;Apps;Alkalmazások
apps.myApps;My apps;Alkalmazásaim
apps.new;New;Újdonság
apps.popular;Popular;Népszerű
apps.education;Education;Oktatás
search.searchResults;Search results;Keresési találatok
search.noResults;No results;Nincs találat
programInfo.airedOn;Aired on;Műsoron
programInfo.related;Related;Kapcsolódó
programInfo.recording.record;Record;Felvétel
programInfo.actionButtons.watch;Watch;Lejátszás: %1
programInfo.actionButtons.watchRecording;Watch your recording;Felvétel lejátszása
programInfo.actionButtons.watchLive;Watch;Nézd élőben
programInfo.actionButtons.recordOn;Record episode;Rögzítés
programInfo.actionButtons.watchCatchup;Watch;Műsorvisszajátszó:
programInfo.actionButtons.startOver;Restart;Újrakezdés
programInfo.actionButtons.recordSeries;Record series;Sorozatrögzítés
programInfo.actionButtons.cancelRecording;Cancel recording;Rögzítés leállítása
programInfo.actionButtons.deleteRecording;Delete recording;Felvétel törlése
programInfo.actionButtons.cancelRecordSeriesOn;Cancel series recording;Sorozatrögzítés leállítása
programInfo.actionButtons.deleteRecordSeriesOn;Delete series recording;Sorozat törlése
programInfo.actionButtons.protect;Protect recording;Felvétel védelme
programInfo.actionButtons.unprotect;Unprotect recording;Felvétel védelmének törlése
programInfo.actionButtons.trailer;Watch trailer;Előzetes megtekintése
programInfo.actionButtons.thirdPartyApp;0,01;%1
