key;en-GROUP;sq-AL-x-AL text
keyboard.parentalPin.enter.placeholder;Please enter your new 4-digit PIN;Vendos PIN-in e ri me 4 shifra
keyboard.parentalPin.reEnter.placeholder;Please re-enter your new 4-digit PIN;Rivendos PIN-in e ri me 4 shifra
settings.network.wps;WPS;WPS
programInfo.actionButtons.moreRecordSeriesOptions;Record series;Regjistro serialin
firstInstall.manualNetworkConfigurationScreen.title;Network;Rrjeti
common.help;Help;Ndihmë
keyboard.wifi.password.placeholder;Enter WiFi password;Vendos fjalëkalimin Wi-Fi
settings.masterPin.changed;Your PIN's changed;PIN-i u ndryshua
settings.systemConfigurations.ledBrightness;Brightness;Ndriçimi
settings.network.lan;LAN;LAN
settings.ledBrightness;Brightness;Ndriçimi
settings.adjustBrightness;Adjust brightness;Rregullo ndriçimin
change volume;Press +/- to change volume;Shtyp +/- për të ndryshuar volumin
firstInstall.helloScreen.title.foundAccount;Hi;Përshëndetje
firstInstall.startChannelsScanScreen.description;To set up your TV and radio channels, first make sure your TV aerial is connected.;Skanimi i kanaleve gjeti kanalet TV dhe Radio<br/> të disponueshme në zonën tënde.
settings.audioDescription.off;Off;Fikur
settings.subtitles.off;Off;Fikur
settings.powerSaving.quickBoot.on;On;Modalitet Kursim i Lartë
settings.powerSaving.quickBoot.off;Off;Modalitet Kursim i Ulët
common.done;Done;U krye
firstInstall.remotePairingSuccessScreen.description;Your TV box is now paired with your remote.;Telekomanda u lidh me <br/> pajisjen Vodafone GigaTV.
settings.recordings.boxSpace;Storage;Hapësirë ruajtjeje
settings.remote.batteryStatus.view;View status;Shiko gjendjen e baterisë
programInfo.catchup.watch;Watch;Shiko
programInfo.watch;Watch;Shiko
badging.parentalLock.on;Parental lock on;Kyçur
firstInstall.operatorPairingScreen.title;Please call us;Na kontakto
firmwareUpdate.description.countdown;Update starts in:;Pajisja Vodafone TV rindizet në %1
settings.masterPin.turnOff;PIN off;PIN i çaktivizuar
settings.masterPin.turnOn;PIN on;PIN i aktivizuar
settings.masterPin.changePin;Change your PIN;Ndrysho PIN
settings.systemConfigurations.updates.upToDate;You already have the latest updates.;Nuk ka përditësime të reja.
settings.lockedChannels;Locked channels;Kanale të Kyçura
mytv.recordings;Recordings;Regjistrime
mytv.purchasesAndRentals;Purchases & rentals;Me qira
programInfo.actionButtons.moreRecordOptions;Record episode;Regjistro
programInfo.actionButtons.buyLabel;Buy;Bli %1
programInfo.actionButtons.rentLabel;Rent;Merr me qira %1
programInfo.actionButtons.bought;Purchased;Blerë
programInfo.actionButtons.rented;Rented;Marrë me qira
badging.parentalLock.off;Parental lock off;Shkyçur
badging.recordable;Available to record;I disponueshëm për të regjistruar
firstInstall.wifiNetworkSelector.joinOtherNetwork;Join other network;Lidhu me një rrjet tjetër
firstInstall.buttons.getHelp;Get help;Ndihmë
firmwareUpdate.description.inProgress;Updating now, please wait.;Pajisja Vodafone TV po përditësohet, të lutem prit
settings.masterPin.turnedOff;PIN off;PIN i çaktivizuar
settings.masterPin.turnedOn;PIN on;PIN i aktivizuar
settings.parentalControls.lockedChannels;Lock channels;Kyç Kanalet
settings.network.joinOtherNetwork;Join other network;Lidhu me një rrjet tjetër
popups.wifi.buttons.getHelp;Get help;Ndihmë
common.tryAgain;Try again;Provo përsëri
firstInstall.remotePairingSuccessScreen.title;Now paired;Lidhur
firstInstall.buttons.wifi;WiFi;Wi-Fi
firstInstall.buttons.backToWifiList;Back to WiFi list;Pas
firstInstall.buttons.abort;Stop;Ndalo
keyboard.wifi.ssid.placeholder;Enter network name:;Vendos emrin e rrjetit:
settings.masterPin.whats;See your PIN;Informacion për PIN
settings.informations.OUI;OUI;OUI
settings.informations.updateStatus;Last system software update:;Statusi i përditësimit të fundit të softuerit
settings.informations.chipID;ID;ID
settings.parentalControls.ageRating;Age rating;Vlerësimi i Moshës
settings.parentalControls.whats;See your PIN;Informacion për PIN
settings.parentalControls.okay;Okay;OK
settings.lockedChannels.permitted;Allowed;Lejuar
settings.boxSpaceProgression;You're using %1% of your available space;Duke përdorur %1% të orëve në dispozicion
settings.remote.itsPaired;Now paired;Lidhur
popups.storage.buttons.buyMore;Buy more storage;Bli Hapësirë
popups.settings.audioAndVisual.screenResolution;Save resolution?;Ruaj Cilësimet?
rails.notitle;No title;Pa Titull
badging.recording;Recording;Duke regjistruar
notification.seriesRecording.start;Schedule series recording;Planifiko regjistrimin e serialit
watch;Watch;Shiko %1
volume;Volume:;Volumi
Today;Today;Sot
Tomorrow;Tomorrow;Nesër
Yesterday;Yesterday;Dje
locked;Locked;Kyçur
mainMenu.myTV.title;MY TV;MY TV
mainMenu.browse.title;ON DEMAND;ON DEMAND
mainMenu.myTVCoverflow.title;Watch next;Vazhdo shikimin
mainMenu.appsCoverflow.title;MY apps;Shiko më shumë
mainMenu.tvGuide.title;TV GUIDE;Programi Televiziv
mainMenu.apps.title;APPS;APPS
mainMenu.search;Search;Kërko
mainMenu.settings;Settings;Cilësimet
mainMenu.allChannelsTvGuide.title;All channels;Të gjithë kanalet
common.noData;No information;Nuk ka informacion
common.noItem;No item;Nuk ka artikull
common.onNow;On now;Në transmetim tani
common.launchApp;Launch app;Hap aplikacionin
common.launch;Launch;Hap
common.onNext;On next;Luaj tjetrin
common.onLater;On later;Luaj më vonë
common.onTomorrow;On tomorrow;Nesër
common.today;Today;Sot
common.tomorrow;Tomorrow;Nesër
common.yesterday;Yesterday;Dje
common.continue;Continue;Vazhdo
common.popular;Popular;Popullore
common.cancel;Cancel;Anullo
common.yes;Yes;Po
common.no;No;Jo
common.skip;Skip;Kapërce
common.notAvailable;Not available;I padisponueshëm
common.okay;Okay;OK
common.noSynopsis;Synopsis unavailable;Përmbledhja e padisponueshme
common.channel;channel;Kanali
common.channels;channels;Kanalet
language.eng;English;English
language.fra;Français;Français
language.ita;Italiano;Italiano
language.deu;Deutsch;Deutsch
language.spa;Español;Español
language.swe;Svenska;Svenska
language.tur;Türk;Türk
liveScreen.noChannel;Channel unavailable;Kanali i padisponueshëm
date.format.smallday0;Sun;Die
date.format.smallday1;Mon;Hën
date.format.smallday2;Tue;Mar
date.format.smallday3;Wed;Mër
date.format.smallday4;Thu;Enj
date.format.smallday5;Fri;Pre
date.format.smallday6;Sat;Sht
date.format.day0;Sunday;E diel
date.format.day1;Monday;E hënë
date.format.day2;Tuesday;E martë
date.format.day3;Wednesday;E mërkurë
date.format.day4;Thursday;E enjte
date.format.day6;Saturday;E shtunë
date.format.smallmonth0;Jan;Jan
date.format.smallmonth1;Feb;Shk
date.format.smallmonth2;Mar;Mar
date.format.smallmonth3;Apr;Pri
date.format.smallmonth4;May;Maj
date.format.smallmonth5;Jun;Qer
date.format.smallmonth6;Jul;Korr
date.format.smallmonth7;Aug;Gush
date.format.smallmonth8;Sep;Shta
date.format.smallmonth9;Oct;Tet
date.format.smallmonth10;Nov;Nën
date.format.smallmonth11;Dec;Dhje
date.format.month0;January;Janar
date.format.month1;February;Shkurt
date.format.month2;March;Mars
date.format.month3;April;Prill
date.format.month4;May;Maj
date.format.month5;June;Qershor
date.format.month6;July;Korrik
date.format.month7;August;Gusht
date.format.month8;September;Shtator
date.format.month9;October;Tetor
date.format.month10;November;Nëntor
date.format.month11;December;Dhjetor
network.error.ssid.tooShort;Network name too short, please enter another one and try again.;Emri i rrjetit që vendose është shumë i shkurtër. Provo përsëri.
network.error.password.tooShort;Password is too short, please enter another one with more digits and try again.;Fjalëkalimi që vendose është shumë i shkurtër. Provo përsëri.
firstInstall.languageScreen.title;Language;Gjuha
firstInstall.remoteUnPairingScreen.title;Remote pairing;Lidh telekomandën
firstInstall.helpBar.toSelect;Choose;Zgjidh
firstInstall.helpBar.toGoBack;Back;Pas
firstInstall.wifiNetworkSelectScreen.description;Press the WPS button on your TV box until the connection confirmation screen appears, or enter your Wi-Fi details:;Vendos detajet e Wi-Fi:
firstInstall.wifiKeyboardScreen.ssid.description;Enter network name:;Vendos emrin e rrjetit:
firstInstall.wifiKeyboardScreen.password.description;Enter Wi-Fi password:;Vendos fjalëkalimin:
firstInstall.wifiNetworkSelector.searchAgain;Search again;Kërko përsëri
firstInstall.helloScreen.title.searchingAccount;One moment;Duke u lidhur
firstInstall.conflictedChannelsFoundScreen.title;Channels;Kanalet
firstInstall.conflictedChannelsFoundScreen.description;Your aerial is picking up multiple regions for %1 %2. Please choose:;Janë gjetur disa rajone për<br/> %1 %2. Përzgjidh:
firstInstall.resolveChannelConflictScreen.title;Channel %1;Kanali %1
firstInstall.resolveChannelConflictScreen.description;Please choose one of the following options:;Përzgjidh një nga më poshtë:
firstInstall.conflictResolutionConfirmScreen.title;Confirm channels;Konfirmo Kanalet
firstInstall.conflictResolutionConfirmScreen.description;Please confirm your chosen channels:;Konfirmo kanalet e përzgjedhura:
firstInstall.buttons.pairLater;Pair later;Lidh më vonë
firstInstall.buttons.connect;Connect;Lidh
firstInstall.buttons.ethernet;Ethernet;Ethernet
firstInstall.buttons.tryAgain;Try again;Provo përsëri
firstInstall.buttons.tryAgainDHCP;Try again with DHCP;Provo përsëri (DHCP)
firstInstall.buttons.connectWifi;Connect with WiFi;Lidhu nëpërmjet Wi-Fi
firstInstall.buttons.advanced;Advanced;Të avancuara
firstInstall.buttons.continue;Continue;Vazhdo
firstInstall.buttons.next;Next;Tjetri
firstInstall.buttons.confirm;Confirm;Konfirmo
firstInstall.buttons.startScanning;Start scanning;Fillo Skanimin
firstInstall.buttons.finishSetup;Finish setup;Shiko TV
firstInstall.buttons.skip;Skip;Kalo
firstInstall.buttons.startWatching;Start watching;Fillo Shikimin
firstInstall.buttons.autoSelect;Auto select;Përzgjidh Automatikisht
firstInstall.buttons.customSelect;Custom select;Përzgjedhje e personalizuar
firstInstall.helpBar.help;Help;Ndihmë
keyboard.masterPin.enter.placeholder;Please enter your new 4-digit PIN;Vendos PIN-in e ri me 4 shifra
keyboard.masterPin.reEnter.placeholder;Please re-enter your new 4-digit PIN;Vendos përsëri kodin PIN
keyboard.lockedChannels.placeholder;Channel number;Numri i kanalit
firmwareUpdate.title;Please wait while your box updates.;Pajisja Vodafone TV po përditësohet, të lutem prit
firmwareUpdate.buttonsBar.updateNow;Update now;Përditëso Tani
settings.masterPin;PIN;PIN
settings.masterPin.okay;Okay;OK
settings.masterPin.changeMyPin;Change your PIN;Ndrysho PIN-in tim
settings.masterPin.whats.popup;Your default PIN is 1234;Më shumë informacion në www.vodafone.al/vodafone-tv
settings.parentalAndPaiment.paymentPin;PIN;PIN
settings.recordings;Recordings;Regjistrime
settings.recordings.deleteAll;Delete all;Fshi të gjitha
settings.recordings.delete.dont;Don't delete all;Mos i fshi të gjitha
settings.recordings.activate.dont;Don't activate;Mos aktivizo
settings.recordings.autoDelete;Auto delete;Fshirje automatike
settings.recordings.buySpace;Buy space;Orët e blerjes
settings.language;Language;Gjuha
settings.accessibility;Accessibility;Aksesueshmëria
settings.accessibility.audioDescription;Audio description;Përshkrim automatik
settings.accessibility.subtitles;Subtitles;Titra
settings.termsAndConditions;Terms & conditions;Kushte dhe Afate
settings.termsAndConditionsPageTitle;Terms & conditions;Kushte dhe Afate
settings.systemConfigurations.network;Network;Rrjeti
settings.systemConfigurations.remote;Remote;Telekomanda
settings.systemConfigurations.tvChannels;TV channels;Kanalet TV
settings.systemConfigurations.audioAndVisual;Audio & visual;Audio dhe Vizuale
settings.systemConfigurations.clockSettings;Clock settings;Cilësimet e Orës
settings.clockSettings.hourFormats.12;am / pm;am / pm
settings.clockSettings.hourFormats.24;24 hour;24 orë
settings.systemConfigurations.updates;Updates;Përditësime
settings.systemConfigurations.updates.updateAvailable;Software update available. Please wait a few minutes while your TV box restarts and installs the update.;Përditësimi u krye. Prit pak minuta ndërsa pajisja Vodafone GigaTV përditësohet dhe rindizet.
settings.systemConfigurations.information;Information;Informacion
settings.informations.buttons.general;General;Të përgjithshme
settings.informations.buttons.audioAndVideo;Audio & video;Audio dhe Video
settings.informations.buttons.tvQuality;TV quality;Cilësia TV
settings.informations.title;Box information;Informacion për pajisjen
settings.informations.brandName;Brand name;Emri i Markës
settings.informations.modelName;Model name;Emri i Modelit
settings.informations.hardwareVersion;Hardware version;Versioni i Harduerit
settings.informations.softwareVersion;Software version;Versioni i Softuerit
settings.informations.uiVersion;UI version;Versioni UI
settings.informations.updateDate;Last system software update:;Përditësimi i fundit i Softuerit
settings.informations.epgData;EPG data;Të dhënat EPG (Udhëzuesi elektronik i programacionit)
settings.informations.householdID;Household ID;ID e familjes
settings.informations.usedCapacityEMMC;Used/capacity eMMC;Përdorimi/Kapaciteti eMMC
settings.informations.usbBack;USB back;USB pas
settings.informations.activeConnection;Active connection;Lidhje Aktive
settings.informations.ip;Current IP address;Adresa aktuale IP
settings.informations.wired.mac;Ethernet MAC address;Adresa Ethernet MAC
settings.informations.wireless.mac;Wireless MAC address;Adresa Wi-Fi MAC
settings.informations.serialNumber;Serial number;Numri Serial
settings.informations.router;Router;Ruteri
settings.informations.speedtest;Speed test;Testi i Shpejtësisë
settings.informations.operationalMode;Operational mode;Modaliteti Operacional
settings.informations.videoConnectionMode;Video connection mode;Modaliteti i Lidhjes Video
settings.informations.tvModel;TV model;Modeli TV
settings.informations.audioConnectionMode;Audio connection mode;Modaliteti i lidhjes automatike
settings.informations.audioOutput;Audio output;Output Audio
settings.informations.remoteControlMode;Remote control mode;Modaliteti i Telekomandës
settings.informations.channelNameDVBT;Channel name (DVB-T);Emri i Kanalit DTT
settings.informations.frequency;Frequency;Frekuenca
settings.informations.signalStrength;Signal strength;Fuqia e Sinjalit
settings.informations.ber;BER;BER
settings.informations.channelNameOTT;Channel name (over the top);Emri i Kanalit Internet TV
settings.informations.abr;ABR;ABR
settings.informations.environment;Environment;Mjedisi
settings.parentalControls;Parental controls;Kontrollet Prindërore
settings.parentalControls.whats.popup;Your default PIN is 1234. When it’s turned on, you’ll be asked to enter it when you make payments and some settings changes like turning parental controls on/off.;PIN i parazgjedhur është 1% dhe të rekomandojmë ta ndryshosh. PIN është i domosdoshëm për të kryer blerje ose për të parë përmbajtje me kufizime moshe nëse janë aktivizuar Kontrollet Prindërore.
settings.lockedChannels.customise;Customise;Personalizo
settings.lockedChannels.unlockAll;Unlock all;Hapi të gjitha
settings.lockedChannels.locked;Locked;Kyçur
settings.tvChannels.premiumChannels;Premium channels;Kanalet Premium
settings.enterNewPin;Enter new PIN;Vendos PIN-in e ri
settings.reEnterNewPin;Re-enter new PIN;Rivendos PIN-in e ri
settings.pinConfirmed;PIN confirmed;PIN i konfirmuar
settings.ageRatings.universal;Universal;Universal
settings.ageRatings.u;U;U
settings.ageRatings.pg;PG;PG
settings.ageRatings.12;12;12
settings.ageRatings.15;15;15
settings.ageRatings.18;18;18
settings.ageRatings.off;Off;Fikur
settings.network.searchAgain;Search again;Kërko përsëri
settings.network.wps.popup;Press the WPS button on your TV box, then on your router to automatically start pairing.;Shtyp butonin WPS tek pajisja Vodafone TV dhe më pas shtyp WPS tek ruteri.
settings.network.lan.connect;Connect;Lidhu
settings.network.advanced;Advanced;Të avancuara
settings.network.advanced.ipAddress;IP address;Adresa IP
settings.remote;Remote;Telekomanda
settings.remotePairing;Remote pairing;Lidh Telekomandën
settings.remote.batteryStatus;Battery status;Gjendja e baterisë
settings.remote.batteryStatus.fine;Your battery status is OK;Gjendja e baterisë OK
settings.remote.batteryStatus.sheetTitleview;View status;Shiko gjendjen
settings.remote.batteryStatus.sheetSubtitleview;Battery status;Gjendja e Baterisë
settings.remote.connectionType;Connection type;Lloji i Lidhjes
settings.remote.connectionType.IR;IR;IR
settings.remote.connectionType.infrared;Infrared;Rreze infra të kuqe
settings.remote.connectionType.RF;RF;RF
settings.remote.connectionType.radioFrequency;Radio frequency;Frekuenca Radio
settings.tvChannels.autoScan;Auto scan;Skanim Automatik
settings.tvChannels.startAutoScan;Start auto scan;Nis skanimin automatik
settings.tvChannels.stopAutoScan;Stop auto scan;Ndal skanimin automatik
settings.tvChannels.channelScan;Channel scan;Skanimi i kanaleve
settings.tvChannels.currentlyHave;You currently have:<div class='channelsSummary'><div>%1</div><div>Digital</div><div>%2</div><div>TV</div><div>%3</div><div>Radio</div></div>;Kanalet aktuale:<div class='halfSummary'>Falas<div class='channelsSummary'><div>%1 TV</div><div>%2 Radio</div></div></div><div class='halfSummary'>Internet<div class='channelsSummary'>%3 TV</div></div></div>
settings.tvChannels.currentlyFound;We've found:<div class='channelsSummary'><div>%1</div><div>Digital</div><div>%2</div><div>TV</div><div>%3</div><div>Radio</div></div>;Kanalet e gjetura:<div class='halfSummary'>Falas<div class='channelsSummary'><div>%1 TV</div><div>%2 Radio</div></div></div><div class='halfSummary'>Internet<div class='channelsSummary'>%3 TV</div></div></div>
settings.tvChannels.weFound;We found:<div class='channelsSummary'><div>%1</div><div>Digital</div><div>%2</div><div>TV</div><div>%3</div><div>Radio</div></div>;Kanalet e gjetura:<div class='halfSummary'>Falas<div class='channelsSummary'><div>%1 TV</div><div>%2 Radio</div></div></div><div class='halfSummary'>Internet<div class='channelsSummary'>%3 TV</div></div></div>
settings.tvChannels.autoSelect;Auto select;Përzgjedhje automatike
settings.tvChannels.customSelect;Custom select;Përzgjedhje e personalizuar
settings.tvChannels.resolveConflict.description;Please confirm your chosen channel:;Cilin kanal preferon?:
settings.tvChannels.confirmConflictResolution.description;Please confirm your chosen channels:;Konformo kanalet e zgjedhura:
mytv.watchnext;Watch next;Shiko tjetrën
mytv.allRecordings;All recordings;Të gjitha regjistrimet
mytv.scheduledRecordings;Scheduled recordings;Regjistrimet e Planifikuara
mytv.allScheduledRecordings;All scheduled recordings;Të gjithë regjistrimet e planifikuara
mytv.allPurchasesAndRentals;All rentals & purchases;Të gjitha qiratë
mytv.wishlist;Record;Watchlist
mytv.allWishlist;Recordings;E gjithë Watchlist
mytv.other;Others;Të tjera
apps.apps;Apps;APPS
apps.myApps;My apps;My Apps
apps.new;New;E Re
apps.popular;Popular;Popullore
apps.education;Education;Edukuese
search.searchResults;Search results;Rezultatet e Kërkimit
search.noResults;No results;Nuk u gjetën rezultate
programInfo.airedOn;Aired on;Transmetuar në
programInfo.related;Related;Të ngjashme
programInfo.recording.record;Record;Regjistro
programInfo.actionButtons.watch;Watch;Shiko %1
programInfo.actionButtons.watchRecording;Watch your recording;Shiko Regjistrimin
programInfo.actionButtons.watchLive;Watch;Shiko drejtpërdrejt
programInfo.actionButtons.recordOn;Record episode;Regjistro
programInfo.actionButtons.watchCatchup;Watch;Shiko Catch Up
programInfo.actionButtons.startOver;Restart;Fillo nga e para
programInfo.actionButtons.recordSeries;Record series;Regjistro Seritë
programInfo.actionButtons.cancelRecording;Cancel recording;Anullo Regjistrimin
programInfo.actionButtons.deleteRecording;Delete recording;Fshi Regjistrimin
programInfo.actionButtons.cancelRecordSeriesOn;Cancel series recording;Anullo Regjistrimin e Serive
programInfo.actionButtons.deleteRecordSeriesOn;Delete series recording;Fshi serialin
programInfo.actionButtons.protect;Protect recording;Mbro regjistrimin
programInfo.actionButtons.unprotect;Unprotect recording;Liro regjistrimin
programInfo.actionButtons.trailer;Watch trailer;Shiko Trailer-in
programInfo.actionButtons.thirdPartyApp;0,01;%1
programInfo.actionButtons.wishlist.remove;Remove;Hiq nga Watchlist
