key;en-GROUP;cs-CZ-x-CZ text
firstInstall.wifiNetworkErrorScreen.noIP;SC123: Please reboot your router and try again.;SC123: Vaše Wi-Fi nemá přístup k internetu. Zkontrolujte prosím router a zkuste to znovu.
firstInstall.wifiNetworkErrorScreen.wirelessKeyError;SC116: Your Wi-Fi password is wrong, please try again.;Nesprávné heslo Wi-Fi. Zkuste to prosím znovu.
firstInstall.wiredNetworkScreen.noIP;SC013: You’re not connected to the internet – please try again.;SC013: Na vašem kabelovém připojení nebylo nalezeno žádné připojení k internetu. <br/> Zkontrolujte prosím router a zkuste to znovu.
notification.epg.date.invalid;SC007: Invalid date;SC007: Neplatné datum
notification.network.offline;SC005: Connnection lost.;SC005: Připojení ke službě ztraceno. Zkontrolujte své připojení k internetu.
settings.network.lan.noIP;SC002: You’re not connected to the internet – please try again.;SC002: Na vašem ethernetovém připojení nebylo nalezeno žádné připojení k internetu. <br/> Zkontrolujte prosím router.
firstInstall.wiredNetworkScreen.connectionLost.description;SC001: Your internet connection was lost.;SC001: Připojení bylo ztraceno. <br/> Zkontrolujte prosím router a zkuste to znovu
firstInstall.getHelpScreen.wired.title;Network;Připojení k internetu
notification.channel.notSubscribed;SB003: You’re not subscribed.;SB003: Drobný výpadek signálu nebo používáte více zařízení najednou.
notification.purchase.failed;SB001: Purchase failed;SB001: Nákup selhal.  Zkuste to prosím znovu.
settings.masterPin.doNotMatch;SA010: They don't match, please try again.;SA010: PINy si vzájemně neodpovídají.  Zkuste to prosím znovu.
popups.pinEntry.failed;SA007: Sorry, that was the wrong PIN. Please try again.;Nesprávný kód PIN. Zkuste to prosím znovu.
continueWatching.noUsername;SA006: Unknown;Neznámý
firstInstall.operatorPairingScreen.description.noPin;SA005: Please call us on 08080 034 515 to complete setup.;SA005: Nastavení nelze dokončit. Navštivte prosím https://www.vodafone.cz/vypadky/ kde naleznete více podrobností. Děkujeme
notification.login.error;SA002: Sorry, login failed.;SA002: Nelze vás připojit k službě. Navštivte prosím https://www.vodafone.cz/vypadky/ kde naleznete více podrobností. Děkujeme.
pinEntry.unSuccessful;SA001: Wrong PIN;Nesprávný kód PIN. Zkuste to prosím znovu.
firstInstall.pairingPinInputScreen.title;Welcome;Dobrý den
firstInstall.remoteUnPairingScreen.description;To pair your TV box and remote, hold the 3 and yellow buttons together for 5 seconds, then repeat with the 1 and yellow buttons.;Chcete-li spárovat dálkový ovladač s TV Boxem, podržte současně tlačítko 3 a žluté tlačítko po dobu 5 sekund a poté podržte tlačítko 3 a žluté tlačítko po dobu 5 sekund.
firstInstall.remotePairingScreen.description;To pair your TV box and remote, hold the 1 and yellow buttons together for 5 seconds. ;Chcete-li spárovat dálkový ovladač s TV Boxem, podržte současně tlačítko <br/> 3 a žluté tlačítko po dobu 5 sekund.
settings.remote.pairing;Remote pairing;Spárování dálkového ovládače
settings.remote.remotePairNewDevice.step0.description;To unpair your remote, hold the 3 and yellow buttons together for 5 seconds.;Podržte současně tlačítko 3 a žluté tlačítko po dobu 5 sekund.
firstInstall.wiredNetworkScreen.description;Connect your Ethernet cable to set up your network.;Připojte ethernetový kabel z TV Boxu k routeru
settings.remote.batteryStatus.low;Your battery status is low.;Vložte nové baterie
settings.network.wifi;WiFi;Wi-Fi
firstInstall.wiredNetworkFoundScreen.description;You're now connected.;Připojení proběhlo v pořádku
settings.remote.remotePairNewDevice.step1.description;To pair your TV box and remote, hold the 1 and yellow buttons together for 5 seconds.;Párování se nezdařilo, opakujte párování později.
firstInstall.pairingPinInputScreen.description;Something went wrong, sorry – please call us on 08080 034 515;Nastavení s vámi dokončí naše oddělení služeb zákazníkům, obraťte se na něj telefonicky prosím.
popups.reboot.title;Sorry, your box needs to reboot.;Váš Vodafone TV Box je třeba restartovat
settings.powerSaving.autoStandbyTime.hint;Remember, increasing auto standby time will use more power.;Poznámka: Při prodloužení doby automatického pohotovostního režimu dojde k nárůstu spotřeby energie
popups.upgrade.misc;Your box will reboot;Váš Box se restartuje za %1
firstInstall.wiredNetworkScreen.title;Network;Připojení k internetu
settings.parentalPin.on;On;Zapnuto
settings.parentalPin.off;Off;Vypnuto
firstInstall.wiredNetworkSearchScreen.title;Network;Síť
firstInstall.scanSummaryScreen.title;Channels scanned;Nalezené kanály
settings.termsAndConditions.view;Read our Ts&Cs;Právní podmínky
settings.parentalPinInit;Your default PIN is 1234. We recommend you choose a new one now.;Další informace o kódech PIN naleznete na webových stránkách vodafone.cz/pece
settings.network.lan.connected;Connected;Připojeno
firstInstall.remotePairingScreen.title;Remote pairing;Spárování dálkového ovládače
firstInstall.wifiNetworkConnectingScreen.title;Network;Wi-Fi
firstInstall.wifiNetworkSelectScreen.title;Network;Wi-Fi
firstInstall.wifiKeyboardScreen.title;Network;Wi-Fi
firstInstall.getHelpScreen.wifi.title;Network;Wi-Fi
firstInstall.finishSetupScreen.title;Your devices;Vaše zařízení
notification.recording.notAllow;Sorry, you can't record this programme;Nelze nahrávat. Nemáte předplatné
settings.parentalAndPaiment;Payment & controls;Poplatky a ovládací prvky
settings.audioAndVisual.screenResolution;Screen resolution;Rozlišení obrazovky
pinEntry.more;See more on PINs in Settings.;Více na vodafone.cz/pece
firstInstall.wifiNetworkFoundScreen.description;Your TV box is now connected to Wi-Fi.;Vodafone TV Box je <br/> nyní připojen
settings.remote.remotePair;Pair;Spárovat
settings.remote.remoteUnpair;Unpair;Zrušit spárování
firstInstall.getHelpScreen.channels.title;Channels;Kanály
settings.parentalControls.ageRating.info;Choosing PIN protection for age-rated programmes will also protect any recordings after 9pm.;Ochrana pomocí kódu PIN pro Rodičovskou kontrolu se vztahuje také na veškeré nahrávání po 21. hodině.
rails.morefrom;More from;Více od %1
firstInstall.startChannelsScanScreen.title;Channels;Kanály
settings.parentalAndPaiment.parentalPin;PIN;PIN
settings.parentalPin;PIN;PIN
firstInstall.wiredNetworkFoundScreen.title;You're connected;Jste připojeni
firstInstall.wifiNetworkFoundScreen.title;You're connected;Wi-Fi připojeno
keyboard.parentalPin.enter.placeholder;Please enter your new 4-digit PIN;Zadejte nový čtyřmístný kód PIN
keyboard.parentalPin.reEnter.placeholder;Please re-enter your new 4-digit PIN;Zadejte nový čtyřmístný kód PIN
settings.network.wps;WPS;WPS
programInfo.actionButtons.moreRecordSeriesOptions;Record series;Nahrát seriál
firstInstall.manualNetworkConfigurationScreen.title;Network;Síť
common.help;Help;Nápověda
keyboard.wifi.password.placeholder;Enter WiFi password;Zadejte své heslo na Wi-Fi
settings.masterPin.changed;Your PIN's changed;Kód PIN byl změněn
settings.systemConfigurations.ledBrightness;Brightness;Jas
settings.network.lan;LAN;LAN
settings.ledBrightness;Brightness;Jas
settings.adjustBrightness;Adjust brightness;Upravit jas
change volume;Press +/- to change volume;Pro změnu hlasitosti stiskněte +/-
firstInstall.helloScreen.title.foundAccount;Hi;Dobrý den
firstInstall.startChannelsScanScreen.description;To set up your TV and radio channels, first make sure your TV aerial is connected.;Vyhledávač kanálů vyhledává dostupné TV a rozhlasové<br/> kanály.
settings.audioDescription.off;Off;Vypnout
settings.subtitles.off;Off;Vypnuto
settings.powerSaving.quickBoot.on;On;Režim vysoké úspory
settings.powerSaving.quickBoot.off;Off;Režim nízké úspory
common.done;Done;Hotovo
firstInstall.remotePairingSuccessScreen.description;Your TV box is now paired with your remote.;Dálkový ovladač je spárovaný s vaším <br/> Vodafone TV Boxem.
settings.recordings.boxSpace;Storage;Úložiště
settings.remote.batteryStatus.view;View status;Zobrazit stav baterie
programInfo.catchup.watch;Watch;Sledovat
programInfo.watch;Watch;Sledovat
badging.parentalLock.on;Parental lock on;Zamčeno
firstInstall.operatorPairingScreen.title;Please call us;Kontaktujte nás
firmwareUpdate.description.countdown;Update starts in:;Vodafone TV Box se restartuje za %1
settings.masterPin.turnOff;PIN off;Deaktivovat PIN
settings.masterPin.turnOn;PIN on;Aktivovat PIN
settings.masterPin.changePin;Change your PIN;Změnit PIN
settings.systemConfigurations.updates.upToDate;You already have the latest updates.;K dispozici nejsou žádné nové aktualizace.
settings.lockedChannels;Locked channels;Uzamknuté kanály
mytv.recordings;Recordings;Nahrávky
mytv.purchasesAndRentals;Purchases & rentals;Výpůjčky
programInfo.actionButtons.moreRecordOptions;Record episode;Nahrát díl
programInfo.actionButtons.buyLabel;Buy;Koupit %1
programInfo.actionButtons.rentLabel;Rent;Vypůjčit si %1
programInfo.actionButtons.bought;Purchased;Zakoupeno
programInfo.actionButtons.rented;Rented;Vypůjčeno
badging.parentalLock.off;Parental lock off;Odemčeno
badging.recordable;Available to record;Lze nahrávat
firstInstall.wifiNetworkSelector.joinOtherNetwork;Join other network;Připojte se k jiné síti
firstInstall.buttons.getHelp;Get help;Nápověda
firmwareUpdate.description.inProgress;Updating now, please wait.;Vodafone TV Box se aktualizuje, Počkejte prosím
settings.masterPin.turnedOff;PIN off;PIN neaktivní
settings.masterPin.turnedOn;PIN on;PIN aktivní
settings.parentalControls.lockedChannels;Lock channels;Uzamknout kanály
settings.network.joinOtherNetwork;Join other network;Připojte se k jiné síti
popups.wifi.buttons.getHelp;Get help;Nápověda
common.tryAgain;Try again;Zkusit znovu
firstInstall.remotePairingSuccessScreen.title;Now paired;Spárováno
firstInstall.buttons.wifi;WiFi;WiFi
firstInstall.buttons.backToWifiList;Back to WiFi list;Zpět
firstInstall.buttons.abort;Stop;Stop
keyboard.wifi.ssid.placeholder;Enter network name:;Zadejte název sítě:
settings.masterPin.whats;See your PIN;Informace o PINu
settings.informations.OUI;OUI;OUI
settings.informations.updateStatus;Last system software update:;Poslední aktualizace softwaru
settings.informations.chipID;ID;ID
settings.parentalControls.ageRating;Age rating;Nastavit věkové omezení
settings.parentalControls.whats;See your PIN;Informace o PINu
settings.parentalControls.okay;Okay;OK
settings.lockedChannels.permitted;Allowed;Povoleno
settings.boxSpaceProgression;You're using %1% of your available space;Využito %1% dostupných hodin
settings.remote.itsPaired;Now paired;Spárováno
popups.storage.buttons.buyMore;Buy more storage;Úložiště Vodafone TV
popups.settings.audioAndVisual.screenResolution;Save resolution?;Uložit nastavení?
rails.notitle;No title;Bez názvu
badging.recording;Recording;Nahrávka
notification.seriesRecording.start;Schedule series recording;Naplánované nové epizody
watch;Watch;Sledovat
volume;Volume:;Hlasitost
Today;Today;Dnes
Tomorrow;Tomorrow;Zítra
Yesterday;Yesterday;Včera
locked;Locked;Zamčeno
mainMenu.myTV.title;MY TV;Moje TV
mainMenu.browse.title;ON DEMAND;VIDEOTÉKA
mainMenu.myTVCoverflow.title;Watch next;Pokračujte, kde jste přestali
mainMenu.appsCoverflow.title;MY apps;Zobrazit více
mainMenu.tvGuide.title;TV GUIDE;Televizní program
mainMenu.apps.title;APPS;Aplikace
mainMenu.search;Search;Vyhledávání
mainMenu.settings;Settings;Nastavení
mainMenu.allChannelsTvGuide.title;All channels;Všechny kanály
common.noData;No information;Žádné informace
common.noItem;No item;Žádná položka
common.onNow;On now;Právě se vysílá
common.launchApp;Launch app;Spustit aplikaci
common.launch;Launch;Spustit
common.onNext;On next;Následující program
common.onLater;On later;Program, který se bude vysílat později
common.onTomorrow;On tomorrow;Program, který se bude vysílat zítra
common.today;Today;Dnes
common.tomorrow;Tomorrow;Zítra
common.yesterday;Yesterday;Včera
common.continue;Continue;Pokračovat
common.popular;Popular;Oblíbené
common.cancel;Cancel;Zrušit
common.yes;Yes;Ano
common.no;No;Ne
common.skip;Skip;Přeskočit
common.notAvailable;Not available;Není k dispozici
common.okay;Okay;OK
common.noSynopsis;Synopsis unavailable;Synopse není k dispozici
common.channel;channel;Kanál
common.channels;channels;Kanály
language.eng;English;angličtina
language.fra;Français;francouzština
language.ita;Italiano;italština
language.deu;Deutsch;němčina
language.spa;Español;španělština
language.swe;Svenska;švédština
language.tur;Türk;turečtina
liveScreen.noChannel;Channel unavailable;Kanál není k dispozici
date.format.smallday0;Sun;Ne
date.format.smallday1;Mon;Po
date.format.smallday2;Tue;Út
date.format.smallday3;Wed;St
date.format.smallday4;Thu;Čt
date.format.smallday5;Fri;Pá
date.format.smallday6;Sat;So
date.format.day0;Sunday;neděle
date.format.day1;Monday;pondělí
date.format.day2;Tuesday;úterý
date.format.day3;Wednesday;středa
date.format.day4;Thursday;čtvrtek
date.format.day6;Saturday;sobota
date.format.smallmonth0;Jan;Led
date.format.smallmonth1;Feb;Úno
date.format.smallmonth2;Mar;Bře
date.format.smallmonth3;Apr;Dub
date.format.smallmonth4;May;Květ
date.format.smallmonth5;Jun;Čen
date.format.smallmonth6;Jul;Čec
date.format.smallmonth7;Aug;Srp
date.format.smallmonth8;Sep;Zář
date.format.smallmonth9;Oct;Říj
date.format.smallmonth10;Nov;Lis
date.format.smallmonth11;Dec;Pro
date.format.month0;January;Leden
date.format.month1;February;Únor
date.format.month2;March;Březen
date.format.month3;April;Duben
date.format.month4;May;Květen
date.format.month5;June;Červen
date.format.month6;July;Červenec
date.format.month7;August;Srpen
date.format.month8;September;Září
date.format.month9;October;Říjen
date.format.month10;November;Listopad
date.format.month11;December;Prosinec
network.error.ssid.tooShort;Network name too short, please enter another one and try again.;Zadaný název sítě je příliš krátký. Zkuste to prosím znovu.
network.error.password.tooShort;Password is too short, please enter another one with more digits and try again.;Zadané heslo je příliš krátké. Zkuste to prosím znovu.
firstInstall.languageScreen.title;Language;Jazyk
firstInstall.remoteUnPairingScreen.title;Remote pairing;Spárování dálkového ovládače
firstInstall.helpBar.toSelect;Choose;Vybrat
firstInstall.helpBar.toGoBack;Back;Zpět
firstInstall.wifiNetworkSelectScreen.description;Press the WPS button on your TV box until the connection confirmation screen appears, or enter your Wi-Fi details:;Zadejte údaje o Wi-Fi:
firstInstall.wifiKeyboardScreen.ssid.description;Enter network name:;Zadejte název sítě:
firstInstall.wifiKeyboardScreen.password.description;Enter Wi-Fi password:;Zadejte heslo:
firstInstall.wifiNetworkSelector.searchAgain;Search again;Hledej znovu
firstInstall.helloScreen.title.searchingAccount;One moment;Připojuji
firstInstall.conflictedChannelsFoundScreen.title;Channels;Kanály
firstInstall.conflictedChannelsFoundScreen.description;Your aerial is picking up multiple regions for %1 %2. Please choose:;Nalezeno více oblastí pro <br/>%1 %2. Vyberte:
firstInstall.resolveChannelConflictScreen.title;Channel %1;Kanál %1
firstInstall.resolveChannelConflictScreen.description;Please choose one of the following options:;Zaškrtněte jednu z uvedených možností:
firstInstall.conflictResolutionConfirmScreen.title;Confirm channels;Potvrďte kanály
firstInstall.conflictResolutionConfirmScreen.description;Please confirm your chosen channels:;Potvrďte vybrané kanály:
firstInstall.buttons.pairLater;Pair later;Spárovat později
firstInstall.buttons.connect;Connect;Připojit
firstInstall.buttons.ethernet;Ethernet;Ethernet
firstInstall.buttons.tryAgain;Try again;Zkusit znovu
firstInstall.buttons.tryAgainDHCP;Try again with DHCP;Zkusit znovu
firstInstall.buttons.connectWifi;Connect with WiFi;Připojit přes Wi-Fi
firstInstall.buttons.advanced;Advanced;Pokročilé
firstInstall.buttons.continue;Continue;Pokračovat
firstInstall.buttons.next;Next;Další
firstInstall.buttons.confirm;Confirm;Potvrdit
firstInstall.buttons.startScanning;Start scanning;Spustit vyhledávání
firstInstall.buttons.finishSetup;Finish setup;Sledovat TV
firstInstall.buttons.skip;Skip;Přeskočit
firstInstall.buttons.startWatching;Start watching;Začněte sledovat
firstInstall.buttons.autoSelect;Auto select;Automatický výběr
firstInstall.buttons.customSelect;Custom select;Vlastní výběr
firstInstall.helpBar.help;Help;Nápověda
keyboard.masterPin.enter.placeholder;Please enter your new 4-digit PIN;Zadejte nový čtyřmístný kód PIN
keyboard.masterPin.reEnter.placeholder;Please re-enter your new 4-digit PIN;Zadejte svůj PIN ještě jednou
keyboard.lockedChannels.placeholder;Channel number;Číslo kanálu
firmwareUpdate.title;Please wait while your box updates.;Aktualizace Vodafone TV Boxu, Počkejte prosím
firmwareUpdate.buttonsBar.updateNow;Update now;Aktualizovat nyní
settings.masterPin;PIN;PIN
settings.masterPin.okay;Okay;OK
settings.masterPin.changeMyPin;Change your PIN;Změnit kód PIN
settings.masterPin.whats.popup;Your default PIN is 1234;Více informací na stránkách vodafone.cz
settings.parentalAndPaiment.paymentPin;PIN;PIN
settings.recordings;Recordings;Nahrávky
settings.recordings.deleteAll;Delete all;Smazat všechny
settings.recordings.delete.dont;Don't delete all;Nemazat všechny
settings.recordings.activate.dont;Don't activate;Neaktivovat
settings.recordings.autoDelete;Auto delete;Automatické mazání
settings.recordings.buySpace;Buy space;Koupit hodiny
settings.language;Language;Jazyk
settings.accessibility;Accessibility;Jazyk a titulky
settings.accessibility.audioDescription;Audio description;Zvukový popis
settings.accessibility.subtitles;Subtitles;Titulky
settings.termsAndConditions;Terms & conditions;Obchodní podmínky
settings.termsAndConditionsPageTitle;Terms & conditions;Obchodní podmínky
settings.systemConfigurations.network;Network;Síť
settings.systemConfigurations.remote;Remote;Dálkový ovladač
settings.systemConfigurations.tvChannels;TV channels;TV kanály
settings.systemConfigurations.audioAndVisual;Audio & visual;Zvuk & Obraz
settings.systemConfigurations.clockSettings;Clock settings;Nastavení hodin
settings.clockSettings.hourFormats.12;am / pm;dopoledne / odpoledne
settings.clockSettings.hourFormats.24;24 hour;24 hodin
settings.systemConfigurations.updates;Updates;Aktualizace
settings.systemConfigurations.updates.updateAvailable;Software update available. Please wait a few minutes while your TV box restarts and installs the update.;Aktualizace k dispozici. Počkejte několik minut, než se váš Vodafone TV Box aktualizuje a restartuje.
settings.systemConfigurations.information;Information;Informace
settings.informations.buttons.general;General;Všeobecné
settings.informations.buttons.audioAndVideo;Audio & video;Zvuk & Video
settings.informations.buttons.tvQuality;TV quality;Kvalita signálu
settings.informations.title;Box information;Informace o Boxu
settings.informations.brandName;Brand name;Název značky
settings.informations.modelName;Model name;Název modelu
settings.informations.hardwareVersion;Hardware version;Verze hardwaru
settings.informations.softwareVersion;Software version;Verze softwaru
settings.informations.uiVersion;UI version;Verze uživatelského rozhraní
settings.informations.updateDate;Last system software update:;Poslední aktualizace softwaru
settings.informations.epgData;EPG data;EPG data
settings.informations.householdID;Household ID;ID domácnosti
settings.informations.usedCapacityEMMC;Used/capacity eMMC;eMMC: využito/celkem
settings.informations.usbBack;USB back;USB Zpět
settings.informations.activeConnection;Active connection;Aktivní připojení
settings.informations.ip;Current IP address;Aktuální adresa IP
settings.informations.wired.mac;Ethernet MAC address;Ethernetová MAC adresa
settings.informations.wireless.mac;Wireless MAC address;Wi-Fi MAC adresa
settings.informations.serialNumber;Serial number;Sériové číslo
settings.informations.router;Router;Router
settings.informations.speedtest;Speed test;Test rychlosti
settings.informations.operationalMode;Operational mode;Provozní režim
settings.informations.videoConnectionMode;Video connection mode;Režim připojení videa
settings.informations.tvModel;TV model;Televizní model
settings.informations.audioConnectionMode;Audio connection mode;Režim připojení zvuku
settings.informations.audioOutput;Audio output;Audio výstup
settings.informations.remoteControlMode;Remote control mode;Režim dálkového ovládání
settings.informations.channelNameDVBT;Channel name (DVB-T);Název kanálu DTT
settings.informations.frequency;Frequency;Frekvence
settings.informations.signalStrength;Signal strength;Síla signálu
settings.informations.ber;BER;BER
settings.informations.channelNameOTT;Channel name (over the top);Název televizního kanálu na internetu
settings.informations.abr;ABR;ABR
settings.informations.environment;Environment;Životní prostředí
settings.parentalControls;Parental controls;Rodičovská kontrola
settings.parentalControls.whats.popup;Your default PIN is 1234. When it’s turned on, you’ll be asked to enter it when you make payments and some settings changes like turning parental controls on/off.;Výchozí kód PIN je %1 a doporučujeme jej změnit. Je vyžadován při nákupech nebo sledování obsahu s přístupností omezenou podle věku, pokud je zapnuta funkce Rodičovská kontrola.
settings.lockedChannels.customise;Customise;Přizpůsobit
settings.lockedChannels.unlockAll;Unlock all;Odemknout vše
settings.lockedChannels.locked;Locked;Zamčeno
settings.tvChannels.premiumChannels;Premium channels;Zobrazit nepředplacené kanály
settings.enterNewPin;Enter new PIN;Zadejte nový kód PIN
settings.reEnterNewPin;Re-enter new PIN;Zadejte nový kód PIN ještě jednou
settings.pinConfirmed;PIN confirmed;Kód PIN potvrzen
settings.ageRatings.universal;Universal;Univerzální
settings.ageRatings.u;U;U
settings.ageRatings.pg;PG;PG
settings.ageRatings.12;12;12
settings.ageRatings.15;15;15
settings.ageRatings.18;18;18
settings.ageRatings.off;Off;Vypnuto
settings.network.searchAgain;Search again;Hledej znovu
settings.network.wps.popup;Press the WPS button on your TV box, then on your router to automatically start pairing.;Stiskněte tlačítko WPS ve svém Vodafone TV Boxu a poté na routeru.
settings.network.lan.connect;Connect;Připojit
settings.network.advanced;Advanced;Pokročilé
settings.network.advanced.ipAddress;IP address;IP adresa
settings.remote;Remote;Dálkový ovladač
settings.remotePairing;Remote pairing;Spárování dálkového ovládače
settings.remote.batteryStatus;Battery status;Stav baterie
settings.remote.batteryStatus.fine;Your battery status is OK;Stav baterie je OK
settings.remote.batteryStatus.sheetTitleview;View status;Zobrazit stav
settings.remote.batteryStatus.sheetSubtitleview;Battery status;Stav baterie
settings.remote.connectionType;Connection type;Typ připojení
settings.remote.connectionType.IR;IR;IR
settings.remote.connectionType.infrared;Infrared;Infračervené záření
settings.remote.connectionType.RF;RF;RF
settings.remote.connectionType.radioFrequency;Radio frequency;Rádiová frekvence
settings.tvChannels.autoScan;Auto scan;Automatické vyhledávání
settings.tvChannels.startAutoScan;Start auto scan;Spustit automatické vyhledávání
settings.tvChannels.stopAutoScan;Stop auto scan;Zastavit automatické vyhledávání
settings.tvChannels.channelScan;Channel scan;Vyhledávání kanálů
settings.tvChannels.currentlyHave;You currently have:<div class='channelsSummary'><div>%1</div><div>Digital</div><div>%2</div><div>TV</div><div>%3</div><div>Radio</div></div>;Aktuální kanály:<div class='halfSummary'>Volně dostupné kanály<div class='channelsSummary'><div>%1 TV</div><div>%2 Radio</div></div></div><div class='halfSummary'>Internet<div class='channelsSummary'>%3 TV</div></div></div>
settings.tvChannels.currentlyFound;We've found:<div class='channelsSummary'><div>%1</div><div>Digital</div><div>%2</div><div>TV</div><div>%3</div><div>Radio</div></div>;Nalezené kanály:<div class='halfSummary'>Volně dostupné kanály<div class='channelsSummary'><div>%1 TV</div><div>%2 Radio</div></div></div><div class='halfSummary'>Internet<div class='channelsSummary'>%3 TV</div></div></div>
settings.tvChannels.weFound;We found:<div class='channelsSummary'><div>%1</div><div>Digital</div><div>%2</div><div>TV</div><div>%3</div><div>Radio</div></div>;Nalezené kanály:<div class='halfSummary'>Volně dostupné kanály<div class='channelsSummary'><div>%1 TV</div><div>%2 Radio</div></div></div><div class='halfSummary'>Internet<div class='channelsSummary'>%3 TV</div></div></div>
settings.tvChannels.autoSelect;Auto select;Automatický výběr
settings.tvChannels.customSelect;Custom select;Vlastní výběr
settings.tvChannels.resolveConflict.description;Please confirm your chosen channel:;Který kanál upřednostňujete?:
settings.tvChannels.confirmConflictResolution.description;Please confirm your chosen channels:;Potvrďte vybrané kanály:
mytv.watchnext;Watch next;Sledovat další
mytv.allRecordings;All recordings;Všechny nahrávky
mytv.scheduledRecordings;Scheduled recordings;Plánování nahrávek
mytv.allScheduledRecordings;All scheduled recordings;Všechny naplánované nahrávky
mytv.allPurchasesAndRentals;All rentals & purchases;Všechny výpůjčky
mytv.wishlist;Record;Chci vidět
mytv.allWishlist;Recordings;Celý seznam programů, které chci vidět
mytv.other;Others;Ostatní
apps.apps;Apps;Aplikace
apps.myApps;My apps;Moje aplikace
apps.new;New;Nové
apps.popular;Popular;Oblíbené
apps.education;Education;Vzdělávání
search.searchResults;Search results;Výsledky vyhledávání
search.noResults;No results;Nebyly nalezeny žádné výsledky
programInfo.airedOn;Aired on;Vysíláno dne
programInfo.related;Related;Související
programInfo.recording.record;Record;Nahrávat
programInfo.actionButtons.watch;Watch;Sledovat %1
programInfo.actionButtons.watchRecording;Watch your recording;Sledovat nahrávku
programInfo.actionButtons.watchLive;Watch;Sledovat živě
programInfo.actionButtons.recordOn;Record episode;Nahrát titul
programInfo.actionButtons.watchCatchup;Watch;Sledovat Minulé díly
programInfo.actionButtons.startOver;Restart;Přehrát od začátku
programInfo.actionButtons.recordSeries;Record series;Nahrát seriál
programInfo.actionButtons.cancelRecording;Cancel recording;Zrušit nahrávání
programInfo.actionButtons.deleteRecording;Delete recording;Odstranit nahrávku
programInfo.actionButtons.cancelRecordSeriesOn;Cancel series recording;Zrušit nahrávání seriálu
programInfo.actionButtons.deleteRecordSeriesOn;Delete series recording;Smazat seriál
programInfo.actionButtons.protect;Protect recording;Nastavit ochranu nahrávky
programInfo.actionButtons.unprotect;Unprotect recording;Zrušit ochranu této nahrávky
programInfo.actionButtons.trailer;Watch trailer;Sledovat upoutávku
programInfo.actionButtons.thirdPartyApp;0,01;%1
programInfo.actionButtons.wishlist.remove;Remove;Odebrat ze seznamu „Chci vidět“
programInfo.actionButtons.wishlist.add;Schedule record;Přidat na seznam „Chci vidět“
programInfo.actionButtons.watchContent;Watch %1;Sledovat
programInfo.actionButtons.buy;Buy;Koupit
programInfo.actionButtons.rent;Rent;Vypůjčit si
programInfo.actionButtons.confirm4K;Your current resolution is not 4K. To watch 4K content your TV must be 4K-ready. Are you sure you want to continue?;Vypadá to, že váš televizor není kompatibilní s technologií 4K (Ultra HD). Chcete pokračovat?
minutes.acronym;mins;min
minute.acronym;min;min
