key;en-GROUP;it-IT-x-IT text
settings.network.lan.noIP;SC002: You’re not connected to the internet – please try again.;Connessione internet non disponibile da cavo ethernet. <br/>  Assicurati che la Vodafone Station sia connessa ad internet e se necessario riavvia la connessione. Premi riprova. [SC002].
firstInstall.wiredNetworkScreen.connectionLost.description;SC001: Your internet connection was lost.;Connessione internet non rilevata. <br/>  Assicurati che la Vodafone Station sia connessa ad internet e se necessario riavvia la connessione. Premi riprova. [SC001].
firstInstall.getHelpScreen.wired.title;Network;Connessione
notification.channel.notSubscribed;SB003: You’re not subscribed.;[SB003] Canale non incluso nella tua offerta. Vai su voda.it/vtvhelp
notification.purchase.failed;SB001: Purchase failed;L'acquisto non è andato a buon fine [SB001]. Vai su voda.it/vtvhelp
settings.masterPin.doNotMatch;SA010: They don't match, please try again.;<strong> I PIN non corrispondono. </strong>Reinserisci il nuovo PIN e riprova [SA010]. Vai su voda.it/vtvhelp
popups.pinEntry.failed;SA007: Sorry, that was the wrong PIN. Please try again.;[SA007] PIN non corretto. Riprova o vai su voda.it/vtvhelp
continueWatching.noUsername;SA006: Unknown;Errore generico
firstInstall.operatorPairingScreen.description.noPin;SA005: Please call us on 08080 034 515 to complete setup.;Si è verificato un errore. Chiama il Servizio clienti al numero 0284594650 [SA005]
notification.login.error;SA002: Sorry, login failed.;Impossibile effettuare il login [SA002]. Vai su voda.it/vtvhelp
pinEntry.unSuccessful;SA001: Wrong PIN;PIN errato. Riprova [SA001]. Vai su voda.it/vtvhelp
firstInstall.pairingPinInputScreen.title;Welcome;Benvenuto
firstInstall.remoteUnPairingScreen.description;To pair your TV box and remote, hold the 3 and yellow buttons together for 5 seconds, then repeat with the 1 and yellow buttons.;Resetta il telecomando premendo i tasti '3' e 'Giallo' per almeno 5 secondi, fino a quando il tasto di accensione smetterà di lampeggiare.
firstInstall.remotePairingScreen.description;To pair your TV box and remote, hold the 1 and yellow buttons together for 5 seconds. ;Premi i tasti '1' e 'Giallo' per almeno 5 secondi, <br/> fino a quando il tasto di accensione smetterà di lampeggiare.
settings.remote.pairing;Remote pairing;Associa telecomando
settings.remote.remotePairNewDevice.step0.description;To unpair your remote, hold the 3 and yellow buttons together for 5 seconds.;Premi i tasti '3' e 'Giallo' per almeno 5 secondi, fino a quando il tasto di accensione smetterà di lampeggiare, poi clicca su Continua.
firstInstall.wiredNetworkScreen.description;Connect your Ethernet cable to set up your network.;Collega il tuo TV Box alla Vodafone Station tramite il cavo Ethernet per assicurarti la migliore qualità di visione.<br> Altrimenti collegati in Wi-Fi nella prossima schermata.
settings.remote.batteryStatus.low;Your battery status is low.;Le batterie sono quasi scariche
settings.network.wifi;WiFi;Reti Wi-Fi
firstInstall.wiredNetworkFoundScreen.description;You're now connected.;Il tuo Vodafone TV Box è collegato tramite cavo Ethernet
settings.remote.remotePairNewDevice.step1.description;To pair your TV box and remote, hold the 1 and yellow buttons together for 5 seconds.;Associa il telecomando premendo i tasti '1' e 'GIALLO' per 5 secondi, fino a quando il tasto di accensione smetterà di lampeggiare.
firstInstall.pairingPinInputScreen.description;Something went wrong, sorry – please call us on 08080 034 515;Accedi al servizio inserendo il Codice di Attivazione di Vodafone TV
popups.reboot.title;Sorry, your box needs to reboot.;Spegni e riaccendi il tuo Vodafone TV Box
settings.powerSaving.autoStandbyTime.hint;Remember, increasing auto standby time will use more power.;Nota: aumentando il tempo per lo standby automatico aumenterà il consumo energetico
popups.upgrade.misc;Your box will reboot;Il tuo Vodafone TV Box verrà riavviato tra %1
firstInstall.wiredNetworkScreen.title;Network;Connessione Internet
settings.parentalPin.on;On;On
settings.parentalPin.off;Off;Off
firstInstall.wiredNetworkSearchScreen.title;Network;Connessione Ethernet
firstInstall.scanSummaryScreen.title;Channels scanned;Canali TV
settings.termsAndConditions.view;Read our Ts&Cs;Condizioni Generali
settings.parentalPinInit;Your default PIN is 1234. We recommend you choose a new one now.;Il PIN predefinito è 0000. Ti consigliamo di modificarlo.
settings.network.lan.connected;Connected;Connesso
firstInstall.remotePairingScreen.title;Remote pairing;Associa telecomando
firstInstall.wifiNetworkConnectingScreen.title;Network;Connessione Wi-Fi
firstInstall.wifiNetworkSelectScreen.title;Network;Connetti Wi-Fi
firstInstall.wifiKeyboardScreen.title;Network;Connetti Wi-Fi
firstInstall.getHelpScreen.wifi.title;Network;Wi-Fi
firstInstall.finishSetupScreen.title;Your devices;I tuoi dispositivi
notification.recording.notAllow;Sorry, you can't record this programme;Non è possibile registrare questo programma
settings.parentalAndPaiment;Payment & controls;Protezione Bambino
settings.audioAndVisual.screenResolution;Screen resolution;Risoluzione schermo
pinEntry.more;See more on PINs in Settings.;Per informazioni sul PIN vai su Impostazioni
firstInstall.wifiNetworkFoundScreen.description;Your TV box is now connected to Wi-Fi.;Il Vodafone TV Box è collegato alla rete Wi-Fi
settings.remote.remotePair;Pair;Associa
settings.remote.remoteUnpair;Unpair;Disassocia
firstInstall.getHelpScreen.channels.title;Channels;Canali
settings.parentalControls.ageRating.info;Choosing PIN protection for age-rated programmes will also protect any recordings after 9pm.;
rails.morefrom;More from;Potrebbe anche interessarti %1
firstInstall.startChannelsScanScreen.title;Channels;Sintonizza i Canali TV
settings.parentalAndPaiment.parentalPin;PIN;PIN
settings.parentalPin;PIN;PIN
firstInstall.wiredNetworkFoundScreen.title;You're connected;Connessione riuscita!
firstInstall.wifiNetworkFoundScreen.title;You're connected;Connessione riuscita!
keyboard.parentalPin.enter.placeholder;Please enter your new 4-digit PIN;Inserisci un nuovo PIN di 4 cifre
keyboard.parentalPin.reEnter.placeholder;Please re-enter your new 4-digit PIN;Reinserisci il nuovo PIN
settings.network.wps;WPS;WPS
programInfo.actionButtons.moreRecordSeriesOptions;Record series;Registra Serie
firstInstall.manualNetworkConfigurationScreen.title;Network;Connessione manuale
common.help;Help;Aiuto
keyboard.wifi.password.placeholder;Enter WiFi password;Inserisci Password
settings.masterPin.changed;Your PIN's changed;PIN modificato
settings.systemConfigurations.ledBrightness;Brightness;Luminosità  LED
settings.network.lan;LAN;LAN
settings.ledBrightness;Brightness;Luminosità LED
settings.adjustBrightness;Adjust brightness;Regola luminosità
change volume;Press +/- to change volume;Regola il volume con +/-
firstInstall.helloScreen.title.foundAccount;Hi;Benvenuto
firstInstall.startChannelsScanScreen.description;To set up your TV and radio channels, first make sure your TV aerial is connected.;La scansione dei canali cerca i canali <br/> TV e Radio disponibili nella tua zona
settings.audioDescription.off;Off;Disattiva
settings.subtitles.off;Off;Disattiva
settings.powerSaving.quickBoot.on;On;Attiva
settings.powerSaving.quickBoot.off;Off;Disattiva
common.done;Done;Ok
firstInstall.remotePairingSuccessScreen.description;Your TV box is now paired with your remote.;Il telecomando è stato associato al Vodafone TV Box
settings.recordings.boxSpace;Storage;Spazio disponibile
settings.remote.batteryStatus.view;View status;Livello batterie
programInfo.catchup.watch;Watch;Guarda
programInfo.watch;Watch;Guarda
badging.parentalLock.on;Parental lock on;Protezione Bambino attiva
firstInstall.operatorPairingScreen.title;Please call us;Contattaci
firmwareUpdate.description.countdown;Update starts in:;L'aggiornamento inizierà tra: %1
settings.masterPin.turnOff;PIN off;Disattiva
settings.masterPin.turnOn;PIN on;Attiva
settings.masterPin.changePin;Change your PIN;Modifica PIN
settings.systemConfigurations.updates.upToDate;You already have the latest updates.;Nessun aggiornamento disponibile
settings.lockedChannels;Locked channels;Canali bloccati
mytv.recordings;Recordings;Registrazioni
mytv.purchasesAndRentals;Purchases & rentals;Noleggiati
programInfo.actionButtons.moreRecordOptions;Record episode;Registra Episodio
programInfo.actionButtons.buyLabel;Buy;Acquista %1
programInfo.actionButtons.rentLabel;Rent;Noleggia %1
programInfo.actionButtons.bought;Purchased;Acquistato
programInfo.actionButtons.rented;Rented;Noleggiato
badging.parentalLock.off;Parental lock off;Protezione Bambino disattiva
badging.recordable;Available to record;Disponibile per la Registrazione
firstInstall.wifiNetworkSelector.joinOtherNetwork;Join other network;Reti nascoste
firstInstall.buttons.getHelp;Get help;Info
firmwareUpdate.description.inProgress;Updating now, please wait.;Aggiornamento in corso, attendi...
settings.masterPin.turnedOff;PIN off;Disattivo
settings.masterPin.turnedOn;PIN on;Attivo
settings.parentalControls.lockedChannels;Lock channels;Blocca canali
settings.network.joinOtherNetwork;Join other network;Reti nascoste
popups.wifi.buttons.getHelp;Get help;Aiuto
common.tryAgain;Try again;Riprova
firstInstall.remotePairingSuccessScreen.title;Now paired;Associato
firstInstall.buttons.wifi;WiFi;Wi-Fi
firstInstall.buttons.backToWifiList;Back to WiFi list;Lista Wi-Fi
firstInstall.buttons.abort;Stop;Interrompi
keyboard.wifi.ssid.placeholder;Enter network name:;Inserisci il nome rete
settings.masterPin.whats;See your PIN;Qual è il PIN?
settings.informations.OUI;OUI;OUI
settings.informations.updateStatus;Last system software update:;Ultimo aggiornamento software
settings.informations.chipID;ID;ChipID
settings.parentalControls.ageRating;Age rating;Livelli blocco
settings.parentalControls.whats;See your PIN;Scopri PIN
settings.parentalControls.okay;Okay;Ok
settings.lockedChannels.permitted;Allowed;Autorizzati
settings.boxSpaceProgression;You're using %1% of your available space;Stai utilizzando il %1% dello spazio disponibile
settings.remote.itsPaired;Now paired;Associato
popups.storage.buttons.buyMore;Buy more storage;Compra più spazio
popups.settings.audioAndVisual.screenResolution;Save resolution?;Vuoi salvare la nuova risoluzione?
rails.notitle;No title;No info
badging.recording;Recording;Registrazione programmata
notification.seriesRecording.start;Schedule series recording;Registrazione nuovi episodi programmata
watch;Watch;Guarda %1
volume;Volume:;Volume
Today;Today;Oggi
Tomorrow;Tomorrow;Domani
Yesterday;Yesterday;Ieri
locked;Locked;Bloccato
mainMenu.myTV.title;MY TV;MY TV
mainMenu.browse.title;ON DEMAND;ON DEMAND
mainMenu.myTVCoverflow.title;Watch next;Iniziati
mainMenu.appsCoverflow.title;MY apps;APP
mainMenu.tvGuide.title;TV GUIDE;GUIDA TV
mainMenu.apps.title;APPS;APP
mainMenu.search;Search;Cerca
mainMenu.settings;Settings;Impostazioni
mainMenu.allChannelsTvGuide.title;All channels;Tutti i canali
common.noData;No information;Nessuna informazione
common.noItem;No item;Contenuto non disponibile
common.onNow;On now;Ora in onda
common.launchApp;Launch app;Scopri di più
common.launch;Launch;Avvia
common.onNext;On next;Successivo
common.onLater;On later;Più tardi
common.onTomorrow;On tomorrow;Domani
common.today;Today;Oggi
common.tomorrow;Tomorrow;Domani
common.yesterday;Yesterday;Ieri
common.continue;Continue;Continua
common.popular;Popular;Più visti
common.cancel;Cancel;Cancella
common.yes;Yes;Sì
common.no;No;No
common.skip;Skip;Salta
common.notAvailable;Not available;Non disponibile
common.okay;Okay;Ok
common.noSynopsis;Synopsis unavailable;Descrizione non disponibile
common.channel;channel;canale
common.channels;channels;canali
language.eng;English;English
language.fra;Français;Français
language.ita;Italiano;Italiano
language.deu;Deutsch;Deutsch
language.spa;Español;Español
language.swe;Svenska;Svenska
language.tur;Türk;Türk
liveScreen.noChannel;Channel unavailable;Canale non disponibile
date.format.smallday0;Sun;Dom
date.format.smallday1;Mon;Lun
date.format.smallday2;Tue;Mar
date.format.smallday3;Wed;Mer
date.format.smallday4;Thu;Gio
date.format.smallday5;Fri;Ven
date.format.smallday6;Sat;Sab
date.format.day0;Sunday;Domenica
date.format.day1;Monday;Lunedì
date.format.day2;Tuesday;Martedì
date.format.day3;Wednesday;Mercoledì
date.format.day4;Thursday;Giovedì
date.format.day6;Saturday;Sabato
date.format.smallmonth0;Jan;Gen
date.format.smallmonth1;Feb;Feb
date.format.smallmonth2;Mar;Mar
date.format.smallmonth3;Apr;Apr
date.format.smallmonth4;May;Mag
date.format.smallmonth5;Jun;Giu
date.format.smallmonth6;Jul;Lug
date.format.smallmonth7;Aug;Ago
date.format.smallmonth8;Sep;Set
date.format.smallmonth9;Oct;Ott
date.format.smallmonth10;Nov;Nov
date.format.smallmonth11;Dec;Dic
date.format.month0;January;Gennaio
date.format.month1;February;Febbraio
date.format.month2;March;Marzo
date.format.month3;April;Aprile
date.format.month4;May;Maggio
date.format.month5;June;Giugno
date.format.month6;July;Luglio
date.format.month7;August;Agosto
date.format.month8;September;Settembre
date.format.month9;October;Ottobre
date.format.month10;November;Novembre
date.format.month11;December;Dicembre
network.error.ssid.tooShort;Network name too short, please enter another one and try again.;Il nome della rete è troppo corto. Inserisci un nuovo nome e riprova.
network.error.password.tooShort;Password is too short, please enter another one with more digits and try again.;La password è troppo corta. Inserisci una nuova password.
firstInstall.languageScreen.title;Language;Lingua
firstInstall.remoteUnPairingScreen.title;Remote pairing;Associa telecomando
firstInstall.helpBar.toSelect;Choose;Seleziona
firstInstall.helpBar.toGoBack;Back;Indietro
firstInstall.wifiNetworkSelectScreen.description;Press the WPS button on your TV box until the connection confirmation screen appears, or enter your Wi-Fi details:;Per collegare il TV BOX a Internet premi il tasto WPS del TV BOX e della Station oppure scegli una rete Wi-Fi dall'elenco:
firstInstall.wifiKeyboardScreen.ssid.description;Enter network name:;Inserisci il nome della rete:
firstInstall.wifiKeyboardScreen.password.description;Enter Wi-Fi password:;Inserisci la password del Wi-Fi:
firstInstall.wifiNetworkSelector.searchAgain;Search again;Cerca di nuovo
firstInstall.helloScreen.title.searchingAccount;One moment;Un attimo…
firstInstall.conflictedChannelsFoundScreen.title;Channels;Canali
firstInstall.conflictedChannelsFoundScreen.description;Your aerial is picking up multiple regions for %1 %2. Please choose:;Abbiamo trovato dei canali in sovrapposizione: %1 %2. <br> Scegli quale sintonizzare:
firstInstall.resolveChannelConflictScreen.title;Channel %1;Canale %1
firstInstall.resolveChannelConflictScreen.description;Please choose one of the following options:;Seleziona una delle seguenti opzioni:
firstInstall.conflictResolutionConfirmScreen.title;Confirm channels;Conferma canali
firstInstall.conflictResolutionConfirmScreen.description;Please confirm your chosen channels:;Conferma i canali selezionati:
firstInstall.buttons.pairLater;Pair later;Più tardi
firstInstall.buttons.connect;Connect;Connetti
firstInstall.buttons.ethernet;Ethernet;Ethernet
firstInstall.buttons.tryAgain;Try again;Riprova
firstInstall.buttons.tryAgainDHCP;Try again with DHCP;Riprova con DHCP
firstInstall.buttons.connectWifi;Connect with WiFi;Connetti al Wi-Fi
firstInstall.buttons.advanced;Advanced;Avanzate
firstInstall.buttons.continue;Continue;Continua
firstInstall.buttons.next;Next;Avanti
firstInstall.buttons.confirm;Confirm;Conferma
firstInstall.buttons.startScanning;Start scanning;Avvia scansione
firstInstall.buttons.finishSetup;Finish setup;Inizia la visione
firstInstall.buttons.skip;Skip;Salta
firstInstall.buttons.startWatching;Start watching;Accedi al servizio
firstInstall.buttons.autoSelect;Auto select;Selezione autom.
firstInstall.buttons.customSelect;Custom select;Selezione manuale
firstInstall.helpBar.help;Help;Info
keyboard.masterPin.enter.placeholder;Please enter your new 4-digit PIN;Inserisci un nuovo PIN di 4 cifre
keyboard.masterPin.reEnter.placeholder;Please re-enter your new 4-digit PIN;Reinserisci il nuovo PIN
keyboard.lockedChannels.placeholder;Channel number;Numero canale
firmwareUpdate.title;Please wait while your box updates.;Aggiornamento in corso, non spegnere il tuo Vodafone TV Box
firmwareUpdate.buttonsBar.updateNow;Update now;Aggiorna
settings.masterPin;PIN;PIN
settings.masterPin.okay;Okay;Ok
settings.masterPin.changeMyPin;Change your PIN;Cambia PIN
settings.masterPin.whats.popup;Your default PIN is 1234;Il PIN predefinito è 0000. Quando è attivo, serve per impostare la Protezione Bambino e acquistare i contenuti a pagamento. Puoi attivarlo o disattivarlo in base alle tue esigenze. Se hai dimenticato il tuo PIN, puoi reimpostarlo su vodafone.it nell'area Fai da te.
settings.parentalAndPaiment.paymentPin;PIN;PIN
settings.recordings;Recordings;Le mie Registrazioni
settings.recordings.deleteAll;Delete all;Cancella tutto
settings.recordings.delete.dont;Don't delete all;Non cancellare tutto
settings.recordings.activate.dont;Don't activate;Non attivare
settings.recordings.autoDelete;Auto delete;Cancellazione automatica
settings.recordings.buySpace;Buy space;Acquista spazio
settings.language;Language;Lingua
settings.accessibility;Accessibility;Servizi per l'accessibilità
settings.accessibility.audioDescription;Audio description;Descrizione audio
settings.accessibility.subtitles;Subtitles;Sottotitoli
settings.termsAndConditions;Terms & conditions;Condizioni Generali
settings.termsAndConditionsPageTitle;Terms & conditions;Condizioni Generali di Contratto
settings.systemConfigurations.network;Network;Connessione internet
settings.systemConfigurations.remote;Remote;Telecomando
settings.systemConfigurations.tvChannels;TV channels;Canali TV
settings.systemConfigurations.audioAndVisual;Audio & visual;Audio e Video
settings.systemConfigurations.clockSettings;Clock settings;Impostazione orologio
settings.clockSettings.hourFormats.12;am / pm;am / pm
settings.clockSettings.hourFormats.24;24 hour;24 ore
settings.systemConfigurations.updates;Updates;Aggiornamenti
settings.systemConfigurations.updates.updateAvailable;Software update available. Please wait a few minutes while your TV box restarts and installs the update.;"Aggiornamento software disponibile: il tuo Vodafone TV Box si riavvierà a breve. Questa operazione potrebbe richiedere alcuni minuti; se vuoi continuare a seguire i tuoi programmi utilizza l'app Vodafone TV per smartphone o tablet."
settings.systemConfigurations.information;Information;Informazioni
settings.informations.buttons.general;General;Generali
settings.informations.buttons.audioAndVideo;Audio & video;Audio e Video
settings.informations.buttons.tvQuality;TV quality;Qualità TV
settings.informations.title;Box information;Informazioni parametri decoder
settings.informations.brandName;Brand name;Nome marchio
settings.informations.modelName;Model name;Nome Modello
settings.informations.hardwareVersion;Hardware version;Versione Hardware
settings.informations.softwareVersion;Software version;Versione Software
settings.informations.uiVersion;UI version;Versione UI
settings.informations.updateDate;Last system software update:;Ultima data aggiornamento software
settings.informations.epgData;EPG data;Data EPG
settings.informations.householdID;Household ID;Household ID
settings.informations.usedCapacityEMMC;Used/capacity eMMC;Utilizzato/Capacità MMC
settings.informations.usbBack;USB back;USB posteriore
settings.informations.activeConnection;Active connection;Connessione attiva
settings.informations.ip;Current IP address;Indirizzo IP attuale
settings.informations.wired.mac;Ethernet MAC address;Indirizzo Ethernet MAC
settings.informations.wireless.mac;Wireless MAC address;Indirizzo Wireless MAC
settings.informations.serialNumber;Serial number;Numero Seriale
settings.informations.router;Router;Router
settings.informations.speedtest;Speed test;Speedtest
settings.informations.operationalMode;Operational mode;Modalità operativa
settings.informations.videoConnectionMode;Video connection mode;Modalità connessione video
settings.informations.tvModel;TV model;Modello TV
settings.informations.audioConnectionMode;Audio connection mode;Modalità connessione audio
settings.informations.audioOutput;Audio output;Uscita audio
settings.informations.remoteControlMode;Remote control mode;Connessione telecomando
settings.informations.channelNameDVBT;Channel name (DVB-T);Nome canale (DVB-T)
settings.informations.frequency;Frequency;Frequenza
settings.informations.signalStrength;Signal strength;Potenza segnale
settings.informations.ber;BER;BER
settings.informations.channelNameOTT;Channel name (over the top);Nome canale
settings.informations.abr;ABR;ABR
settings.informations.environment;Environment;Ambiente
settings.parentalControls;Parental controls;Protezione Bambino
settings.parentalControls.whats.popup;Your default PIN is 1234. When it’s turned on, you’ll be asked to enter it when you make payments and some settings changes like turning parental controls on/off.;Il PIN predefinito è %1. Quando il codice è attivo, ti verrà richiesto per accedere ai contenuti protetti o per effettuare degli acquisti.
settings.lockedChannels.customise;Customise;Personalizza
settings.lockedChannels.unlockAll;Unlock all;Sblocca tutto
settings.lockedChannels.locked;Locked;Bloccato
settings.tvChannels.premiumChannels;Premium channels;Canali premium
settings.enterNewPin;Enter new PIN;Crea nuovo PIN
settings.reEnterNewPin;Re-enter new PIN;Reinserisci nuovo PIN
settings.pinConfirmed;PIN confirmed;PIN Confermato
settings.ageRatings.universal;Universal;Universale
settings.ageRatings.u;U;PT
settings.ageRatings.pg;PG;BA
settings.ageRatings.12;12;VM12
settings.ageRatings.15;15;VM14
settings.ageRatings.18;18;VM18
settings.ageRatings.off;Off;Nessun blocco
settings.network.searchAgain;Search again;Aggiorna reti
settings.network.wps.popup;Press the WPS button on your TV box, then on your router to automatically start pairing.;Ora premi il tasto WPS della Vodafone Station.
settings.network.lan.connect;Connect;Collega
settings.network.advanced;Advanced;Configurazioni avanzate
settings.network.advanced.ipAddress;IP address;Indirizzo IP
settings.remote;Remote;Telecomando
settings.remotePairing;Remote pairing;Associa telecomando
settings.remote.batteryStatus;Battery status;Stato batterie
settings.remote.batteryStatus.fine;Your battery status is OK;Le tue batterie sono cariche
settings.remote.batteryStatus.sheetTitleview;View status;Visualizza stato
settings.remote.batteryStatus.sheetSubtitleview;Battery status;Stato batterie
settings.remote.connectionType;Connection type;Connessione telecomando
settings.remote.connectionType.IR;IR;IR
settings.remote.connectionType.infrared;Infrared;Infrarossi
settings.remote.connectionType.RF;RF;RF
settings.remote.connectionType.radioFrequency;Radio frequency;Radio Frequenza
settings.tvChannels.autoScan;Auto scan;Ricerca automatica
settings.tvChannels.startAutoScan;Start auto scan;Inizia ricerca
settings.tvChannels.stopAutoScan;Stop auto scan;Interrompi ricerca
settings.tvChannels.channelScan;Channel scan;Ricerca canali
settings.tvChannels.currentlyHave;You currently have:<div class='channelsSummary'><div>%1</div><div>Digital</div><div>%2</div><div>TV</div><div>%3</div><div>Radio</div></div>;Attualmente disponibili: Digitale Terrestre<div class='channelsSummary'><div>%1 TV</div><div>%2 Radio</div></div></div><div class='halfSummary'>Canali in streaming<div class='channelsSummary'>%3 TV</div></div></div>
settings.tvChannels.currentlyFound;We've found:<div class='channelsSummary'><div>%1</div><div>Digital</div><div>%2</div><div>TV</div><div>%3</div><div>Radio</div></div>;Abbiamo trovato: <div class='halfSummary'>Digitale Terrestre<div class='channelsSummary'><div>%1 TV</div><div>%2 Radio</div></div></div><div class='halfSummary'>Canali in streaming<div class='channelsSummary'>%3 TV</div></div></div>
settings.tvChannels.weFound;We found:<div class='channelsSummary'><div>%1</div><div>Digital</div><div>%2</div><div>TV</div><div>%3</div><div>Radio</div></div>;Abbiamo trovato: <div class='halfSummary'>Digitale Terrestre<div class='channelsSummary'><div>%1 TV</div><div>%2 Radio</div></div></div><div class='halfSummary'>Canali in streaming<div class='channelsSummary'>%3 TV</div></div></div>
settings.tvChannels.autoSelect;Auto select;Selezione autom.
settings.tvChannels.customSelect;Custom select;Selezione manuale
settings.tvChannels.resolveConflict.description;Please confirm your chosen channel:;Conferma il canale selezionato:
settings.tvChannels.confirmConflictResolution.description;Please confirm your chosen channels:;Conferma i canali selezionati:
mytv.watchnext;Watch next;Continua a guardare
mytv.allRecordings;All recordings;Tutte le Registrazioni
mytv.scheduledRecordings;Scheduled recordings;Registrazioni Programmate
mytv.allScheduledRecordings;All scheduled recordings;Tutte le Registrazioni Programmate
mytv.allPurchasesAndRentals;All rentals & purchases;Noleggiati
mytv.wishlist;Record;Preferiti
mytv.allWishlist;Recordings;Tutti i Preferiti
mytv.other;Others;Altri
apps.apps;Apps;App
apps.myApps;My apps;Le mie app
apps.new;New;Nuovi
apps.popular;Popular;Più Popolari
apps.education;Education;Education
search.searchResults;Search results;Risultati ricerca:
search.noResults;No results;Nessun risultato disponibile
programInfo.airedOn;Aired on;In onda
programInfo.related;Related;Potrebbe anche interessarti
programInfo.recording.record;Record;Registra
programInfo.actionButtons.watch;Watch;Guarda %1
programInfo.actionButtons.watchRecording;Watch your recording;Guarda registr.
programInfo.actionButtons.watchLive;Watch;Guarda
programInfo.actionButtons.recordOn;Record episode;Registra
programInfo.actionButtons.watchCatchup;Watch;Guarda
programInfo.actionButtons.startOver;Restart;Ricomincia
programInfo.actionButtons.recordSeries;Record series;Registra Serie
programInfo.actionButtons.cancelRecording;Cancel recording;Annulla registr.
programInfo.actionButtons.deleteRecording;Delete recording;Elimina
programInfo.actionButtons.cancelRecordSeriesOn;Cancel series recording;Cancella registr.serie
programInfo.actionButtons.deleteRecordSeriesOn;Delete series recording;Elimina registr.
programInfo.actionButtons.protect;Protect recording;Proteggi registr.
programInfo.actionButtons.unprotect;Unprotect recording;Disattiva protezione
programInfo.actionButtons.trailer;Watch trailer;Trailer
programInfo.actionButtons.thirdPartyApp;0,01;%1
programInfo.actionButtons.wishlist.remove;Remove;Elimina dai Preferiti
programInfo.actionButtons.wishlist.add;Schedule record;Aggiungi ai Preferiti
programInfo.actionButtons.watchContent;Watch %1;Guarda %1
programInfo.actionButtons.buy;Buy;Acquista
