key;en-GROUP;de-DE-x-DE text
firstInstall.operatorPairingScreen.description.noPin;SA005: Please call us on 08080 034 515 to complete setup.;SA005: Setup konnte nicht durchgeführt werden. Rufe bitte beim technischen Kundendienst an
notification.login.error;SA002: Sorry, login failed.;SA002: Du konntest nicht mit dem Dienst verbunden werden. Rufe bitte beim technischen Kundendienst an
pinEntry.unSuccessful;SA001: Wrong PIN;Die eingegebene PIN ist nicht korrekt. Bitte versuche es erneut!
firstInstall.pairingPinInputScreen.title;Welcome;Hallo
firstInstall.remoteUnPairingScreen.description;To pair your TV box and remote, hold the 3 and yellow buttons together for 5 seconds, then repeat with the 1 and yellow buttons.;Um Deine Fernbedienung mit der GigaTV Box zu verbinden, halte gleichzeitig die Nummerntaste [3] und den gelben Knopf für fünf Sekunden gedrückt. Wiederhole danach den Vorgang mit der Nummerntaste [1] und dem gelben Knopf.
firstInstall.remotePairingScreen.description;To pair your TV box and remote, hold the 1 and yellow buttons together for 5 seconds. ;Um Deine Fernbedienung mit der GigaTV Box zu verbinden,<br/>halte gleichzeitig die Nummerntaste [3] und den gelben Knopf für fünf Sekunden gedrückt.
settings.remote.pairing;Remote pairing;Fernbedienung verbinden
settings.remote.remotePairNewDevice.step0.description;To unpair your remote, hold the 3 and yellow buttons together for 5 seconds.;Halte im ersten Schritt die Nummerntaste [3] und den gelben Knopf gemeinsam fünf Sekunden lang gedrückt.
firstInstall.wiredNetworkScreen.description;Connect your Ethernet cable to set up your network.;Bitte verbinde das LAN-Kabel mit der GigaTV Box und dem Router.
settings.remote.batteryStatus.low;Your battery status is low.;Batterien wechseln
settings.network.wifi;WiFi;WLAN
firstInstall.wiredNetworkFoundScreen.description;You're now connected.;Deine Verbindung wurde erfolgreich hergestellt
settings.remote.remotePairNewDevice.step1.description;To pair your TV box and remote, hold the 1 and yellow buttons together for 5 seconds.;Halte nun die Nummerntaste [1] und den gelben Knopf gemeinsam fünf Sekunden lang gedrückt.
firstInstall.pairingPinInputScreen.description;Something went wrong, sorry – please call us on 08080 034 515;Um die Installation zu vervollständigen, rufe bitte beim technischen Kundendienst an!
popups.reboot.title;Sorry, your box needs to reboot.;Deine GigaTV Box muss neu gestartet werden.
settings.powerSaving.autoStandbyTime.hint;Remember, increasing auto standby time will use more power.;Hinweis: Die Erhöhung der Auto-Standby-Zeit führt zu einem höheren Stromverbrauch.
popups.upgrade.misc;Your box will reboot;Deine GigaTV Box wird in %1 neu starten.
firstInstall.wiredNetworkScreen.title;Network;Internetverbindung
settings.parentalPin.on;On;Aktiviert
settings.parentalPin.off;Off;Aus
firstInstall.wiredNetworkSearchScreen.title;Network;Netzwerk
firstInstall.scanSummaryScreen.title;Channels scanned;Sender gefunden
settings.termsAndConditions.view;Read our Ts&Cs;AGB, Transparenz & Impressum
settings.parentalPinInit;Your default PIN is 1234. We recommend you choose a new one now.;Für weitere Informationen zu PINs besuche uns auf www.vodafone.de
settings.network.lan.connected;Connected;Verbunden
firstInstall.remotePairingScreen.title;Remote pairing;Fernbedienung verbinden
firstInstall.wifiNetworkConnectingScreen.title;Network;WLAN
firstInstall.wifiNetworkSelectScreen.title;Network;WLAN
firstInstall.wifiKeyboardScreen.title;Network;WLAN
firstInstall.getHelpScreen.wifi.title;Network;WLAN
firstInstall.finishSetupScreen.title;Your devices;Deine Geräte
notification.recording.notAllow;Sorry, you can't record this programme;Die Aufnahme ist nicht möglich, du hast kein Abo.
settings.parentalAndPaiment;Payment & controls;Zahlungen & Steuerungen
settings.audioAndVisual.screenResolution;Screen resolution;Bildschirmauflösung
pinEntry.more;See more on PINs in Settings.;Mehr Informationen auf vodafone.de
firstInstall.wifiNetworkFoundScreen.description;Your TV box is now connected to Wi-Fi.;Deine GigaTV Box ist nun verbunden<br/>
settings.remote.remotePair;Pair;Verbinden
settings.remote.remoteUnpair;Unpair;Verbindung trennen
firstInstall.getHelpScreen.channels.title;Channels;Sender
settings.parentalControls.ageRating.info;Choosing PIN protection for age-rated programmes will also protect any recordings after 9pm.; 
rails.morefrom;More from;%1
firstInstall.startChannelsScanScreen.title;Channels;Sender
settings.parentalAndPaiment.parentalPin;PIN;PIN
settings.parentalPin;PIN;PIN
firstInstall.wiredNetworkFoundScreen.title;You're connected;Verbindung erfolgreich
firstInstall.wifiNetworkFoundScreen.title;You're connected;Das WLAN ist verbunden.
keyboard.parentalPin.enter.placeholder;Please enter your new 4-digit PIN;Gib Deine neue 4-stellige PIN ein
keyboard.parentalPin.reEnter.placeholder;Please re-enter your new 4-digit PIN;Gib Deine 4-stellige PIN ein
settings.network.wps;WPS;WPS
programInfo.actionButtons.moreRecordSeriesOptions;Record series;Serie aufnehmen
firstInstall.manualNetworkConfigurationScreen.title;Network;Netzwerk
common.help;Help;Hilfe
keyboard.wifi.password.placeholder;Enter WiFi password;Gib Dein WLAN-Passwort ein
settings.masterPin.changed;Your PIN's changed;PIN geändert
settings.systemConfigurations.ledBrightness;Brightness;Helligkeit
settings.network.lan;LAN;LAN
settings.ledBrightness;Brightness;Helligkeit
settings.adjustBrightness;Adjust brightness;Helligkeit anpassen
change volume;Press +/- to change volume;Um die Lautstärke zu regulieren, drücke +/-
firstInstall.helloScreen.title.foundAccount;Hi;Hallo
firstInstall.startChannelsScanScreen.description;To set up your TV and radio channels, first make sure your TV aerial is connected.;Der Sendersuchlauf findet lokale Fernseh- und Radiosender
settings.audioDescription.off;Off;Aus
settings.subtitles.off;Off;Aus
settings.powerSaving.quickBoot.on;On;Energiespar-Modus
settings.powerSaving.quickBoot.off;Off;Schnellstart-Modus
common.done;Done;Erledigt
firstInstall.remotePairingSuccessScreen.description;Your TV box is now paired with your remote.;Die Fernbedienung wurde mit Deiner GigaTV Box verbunden.<br/>
settings.recordings.boxSpace;Storage;Speicher
settings.remote.batteryStatus.view;View status;Batteriestatus einsehen
programInfo.catchup.watch;Watch;Ansehen
programInfo.watch;Watch;Ansehen
badging.parentalLock.on;Parental lock on;Gesperrt
firstInstall.operatorPairingScreen.title;Please call us;Kontakt
firmwareUpdate.description.countdown;Update starts in:;Deine GigaTV Box wird in %1 neu gestartet
settings.masterPin.turnOff;PIN off;PIN deaktivieren
settings.masterPin.turnOn;PIN on;PIN aktivieren
settings.masterPin.changePin;Change your PIN;PIN ändern
settings.systemConfigurations.updates.upToDate;You already have the latest updates.;Keine Updates verfügbar
settings.lockedChannels;Locked channels;Sender sperren
mytv.recordings;Recordings;Aufnahmen
mytv.purchasesAndRentals;Purchases & rentals;Ausgeliehene Inhalte
programInfo.actionButtons.moreRecordOptions;Record episode;Folge aufnehmen
programInfo.actionButtons.buyLabel;Buy;%1 kaufen
programInfo.actionButtons.rentLabel;Rent;Ausleihen für 2 Tage: %1
programInfo.actionButtons.bought;Purchased;Gekauft
programInfo.actionButtons.rented;Rented;Ausgeliehen
badging.parentalLock.off;Parental lock off;Entsperrt
badging.recordable;Available to record;Zur Aufnahme verfügbar
firstInstall.wifiNetworkSelector.joinOtherNetwork;Join other network;Mit anderem Netzwerk verbinden
firstInstall.buttons.getHelp;Get help;Hilfe
firmwareUpdate.description.inProgress;Updating now, please wait.;Deine GigaTV Box wird aktualisiert. Bitte warten...
settings.masterPin.turnedOff;PIN off;PIN deaktiviert
settings.masterPin.turnedOn;PIN on;PIN aktiviert
settings.parentalControls.lockedChannels;Lock channels;Sender sperren
settings.network.joinOtherNetwork;Join other network;Mit einem anderen Netzwerk verbinden.
popups.wifi.buttons.getHelp;Get help;Hilfe
common.tryAgain;Try again;Erneut versuchen
firstInstall.remotePairingSuccessScreen.title;Now paired;Verbunden
firstInstall.buttons.wifi;WiFi;WLAN
firstInstall.buttons.backToWifiList;Back to WiFi list;Zurück
firstInstall.buttons.abort;Stop;Abbrechen
keyboard.wifi.ssid.placeholder;Enter network name:;Netzwerkname eingeben:
settings.masterPin.whats;See your PIN;PIN-Info
settings.informations.OUI;OUI;OUI
settings.informations.updateStatus;Last system software update:;Status der letzten Systemaktualisierung
settings.informations.chipID;ID;Kennung
settings.parentalControls.ageRating;Age rating;Altersbeschränkung
settings.parentalControls.whats;See your PIN;Informationen zur PIN
settings.parentalControls.okay;Okay;OK
settings.lockedChannels.permitted;Allowed;Erlaubt
settings.boxSpaceProgression;You're using %1% of your available space;%1% des verfügbaren Speichers sind belegt
settings.remote.itsPaired;Now paired;Verbunden
popups.storage.buttons.buyMore;Buy more storage;Speicherplatz kaufen
popups.settings.audioAndVisual.screenResolution;Save resolution?;Einstellungen speichern?
rails.notitle;No title;Kein Titel
badging.recording;Recording;Aufnahme läuft
notification.seriesRecording.start;Schedule series recording;Serie aufnehmen
watch;Watch;%1 ansehen
volume;Volume:;Lautstärke
Today;Today;Heute
Tomorrow;Tomorrow;Morgen
Yesterday;Yesterday;Gestern
locked;Locked;Gesperrt
mainMenu.myTV.title;MY TV;Mein TV
mainMenu.browse.title;ON DEMAND;Videothek
mainMenu.myTVCoverflow.title;Watch next;Wiedergabe fortsetzen
mainMenu.appsCoverflow.title;MY apps;Mehr sehen
mainMenu.tvGuide.title;TV GUIDE;TV Guide
mainMenu.apps.title;APPS;Apps
mainMenu.search;Search;Suche
mainMenu.settings;Settings;Einstellungen
mainMenu.allChannelsTvGuide.title;All channels;Alle Sender
common.noData;No information;Keine Informationen vorhanden
common.noItem;No item;Kein Inhalt
common.onNow;On now;Läuft jetzt
common.launchApp;Launch app;Öffnen
common.launch;Launch;Öffnen
common.onNext;On next;Danach
common.onLater;On later;Später
common.onTomorrow;On tomorrow;Morgen im Programm
common.today;Today;Heute
common.tomorrow;Tomorrow;Morgen
common.yesterday;Yesterday;Gestern
common.continue;Continue;Fortsetzen
common.popular;Popular;Beliebt
common.cancel;Cancel;Abbrechen
common.yes;Yes;Ja
common.no;No;Nein
common.skip;Skip;Überspringen
common.notAvailable;Not available;Nicht verfügbar
common.okay;Okay;OK
common.noSynopsis;Synopsis unavailable;Keine Inhaltsangabe verfügbar
common.channel;channel;Sender
common.channels;channels;Sender
language.eng;English;Englisch
language.fra;Français;Französisch
language.ita;Italiano;Italienisch
language.deu;Deutsch;Deutsch
language.spa;Español;Spanisch
language.swe;Svenska;Schwedisch
language.tur;Türk;Türkisch
liveScreen.noChannel;Channel unavailable;Sender nicht verfügbar
date.format.smallday0;Sun;So.
date.format.smallday1;Mon;Mo.
date.format.smallday2;Tue;Di.
date.format.smallday3;Wed;Mi.
date.format.smallday4;Thu;Do.
date.format.smallday5;Fri;Fr.
date.format.smallday6;Sat;Sa.
date.format.day0;Sunday;Sonntag
date.format.day1;Monday;Montag
date.format.day2;Tuesday;Dienstag
date.format.day3;Wednesday;Mittwoch
date.format.day4;Thursday;Donnerstag
date.format.day6;Saturday;Samstag
date.format.smallmonth0;Jan;Jan.
date.format.smallmonth1;Feb;Feb.
date.format.smallmonth2;Mar;Mrz.
date.format.smallmonth3;Apr;Apr.
date.format.smallmonth4;May;Mai
date.format.smallmonth5;Jun;Jun.
date.format.smallmonth6;Jul;Jul.
date.format.smallmonth7;Aug;Aug.
date.format.smallmonth8;Sep;Sep.
date.format.smallmonth9;Oct;Okt.
date.format.smallmonth10;Nov;Nov.
date.format.smallmonth11;Dec;Dez.
date.format.month0;January;Januar
date.format.month1;February;Februar
date.format.month2;March;März
date.format.month3;April;April
date.format.month4;May;Mai
date.format.month5;June;Juni
date.format.month6;July;Juli
date.format.month7;August;August
date.format.month8;September;September
date.format.month9;October;Oktober
date.format.month10;November;November
date.format.month11;December;Dezember
network.error.ssid.tooShort;Network name too short, please enter another one and try again.;Der eingegebene Netzwerkname ist zu kurz. Bitte versuche es erneut
network.error.password.tooShort;Password is too short, please enter another one with more digits and try again.;Das eingegebene Passwort ist zu kurz. Bitte versuche es erneut
firstInstall.languageScreen.title;Language;Sprache
firstInstall.remoteUnPairingScreen.title;Remote pairing;Fernbedienung verbinden
firstInstall.helpBar.toSelect;Choose;Auswählen
firstInstall.helpBar.toGoBack;Back;Zurück
firstInstall.wifiNetworkSelectScreen.description;Press the WPS button on your TV box until the connection confirmation screen appears, or enter your Wi-Fi details:;WLAN-Informationen eingeben:
firstInstall.wifiKeyboardScreen.ssid.description;Enter network name:;Netzwerkname eingeben:
firstInstall.wifiKeyboardScreen.password.description;Enter Wi-Fi password:;Passwort eingeben:
firstInstall.wifiNetworkSelector.searchAgain;Search again;Erneut suchen
firstInstall.helloScreen.title.searchingAccount;One moment;Verbindung wird hergestellt
firstInstall.conflictedChannelsFoundScreen.title;Channels;Sender
firstInstall.conflictedChannelsFoundScreen.description;Your aerial is picking up multiple regions for %1 %2. Please choose:;Es wurden mehrere Regionen für %1 %2 gefunden. Bitte wähle:
firstInstall.resolveChannelConflictScreen.title;Channel %1;Sender %1
firstInstall.resolveChannelConflictScreen.description;Please choose one of the following options:;Wähle einen aus den Folgenden:
firstInstall.conflictResolutionConfirmScreen.title;Confirm channels;Sender bestätigen
firstInstall.conflictResolutionConfirmScreen.description;Please confirm your chosen channels:;Bitte bestätige die ausgewählten Sender:
firstInstall.buttons.pairLater;Pair later;Später verbinden
firstInstall.buttons.connect;Connect;Verbinden
firstInstall.buttons.ethernet;Ethernet;LAN
firstInstall.buttons.tryAgain;Try again;Erneut versuchen
firstInstall.buttons.tryAgainDHCP;Try again with DHCP;Erneut versuchen (DHCP)
firstInstall.buttons.connectWifi;Connect with WiFi;Mit WLAN verbinden
firstInstall.buttons.advanced;Advanced;Erweitert
firstInstall.buttons.continue;Continue;Fortfahren
firstInstall.buttons.next;Next;Weiter
firstInstall.buttons.confirm;Confirm;Bestätigen
firstInstall.buttons.startScanning;Start scanning;Sendersuchlauf starten
firstInstall.buttons.finishSetup;Finish setup;Fernsehen
firstInstall.buttons.skip;Skip;Überspringen
firstInstall.buttons.startWatching;Start watching;Ansehen
firstInstall.buttons.autoSelect;Auto select;Automatische Auswahl
firstInstall.buttons.customSelect;Custom select;Manuelle Auswahl
firstInstall.helpBar.help;Help;Hilfe
keyboard.masterPin.enter.placeholder;Please enter your new 4-digit PIN;Gib Deine neue 4-stellige PIN ein
keyboard.masterPin.reEnter.placeholder;Please re-enter your new 4-digit PIN;PIN erneut eingeben
keyboard.lockedChannels.placeholder;Channel number;Sender
firmwareUpdate.title;Please wait while your box updates.;Deine GigaTV Box wird aktualisiert. Bitte warten...
firmwareUpdate.buttonsBar.updateNow;Update now;Aktualisieren Sie jetzt!
settings.masterPin;PIN;PIN
settings.masterPin.okay;Okay;OK
settings.masterPin.changeMyPin;Change your PIN;Meine PIN ändern
settings.masterPin.whats.popup;Your default PIN is 1234;Deine Jugendschutz-PIN findest Du auf der Auftragsbestätigung. Weitere Infos auf www.vodafone.de/tv
settings.parentalAndPaiment.paymentPin;PIN;PIN
settings.recordings;Recordings;Aufnahmen
settings.recordings.deleteAll;Delete all;Alle löschen
settings.recordings.delete.dont;Don't delete all;Abbrechen
settings.recordings.activate.dont;Don't activate;Nicht aktivieren
settings.recordings.autoDelete;Auto delete;Automatisch löschen
settings.recordings.buySpace;Buy space;Stundenkontingent erweitern
settings.language;Language;Sprache
settings.accessibility;Accessibility;Bedienungshilfen
settings.accessibility.audioDescription;Audio description;Audio-Deskription
settings.accessibility.subtitles;Subtitles;Untertitel
settings.termsAndConditions;Terms & conditions;AGB, Transparenz & Impressum
settings.termsAndConditionsPageTitle;Terms & conditions;AGB, Transparenz & Impressum
settings.systemConfigurations.network;Network;Netzwerk
settings.systemConfigurations.remote;Remote;Fernbedienung
settings.systemConfigurations.tvChannels;TV channels;TV-Sender
settings.systemConfigurations.audioAndVisual;Audio & visual;Bild- & Toneinstellungen
settings.systemConfigurations.clockSettings;Clock settings;Uhrzeit-Einstellungen
settings.clockSettings.hourFormats.12;am / pm;vorm. / nachm.
settings.clockSettings.hourFormats.24;24 hour;Zeitanzeige im 24-Stunden-Format
settings.systemConfigurations.updates;Updates;Software-Aktualisierungen
settings.systemConfigurations.updates.updateAvailable;Software update available. Please wait a few minutes while your TV box restarts and installs the update.;Software-Update verfügbar. Bitte warte einige Minuten, während Deine GigaTV Box sich aktualisiert und neu gestartet wird
settings.systemConfigurations.information;Information;Information
settings.informations.buttons.general;General;Allgemein
settings.informations.buttons.audioAndVideo;Audio & video;Audio & Video
settings.informations.buttons.tvQuality;TV quality;TV-Qualität
settings.informations.title;Box information;Box-Informationen
settings.informations.brandName;Brand name;Markenname
settings.informations.modelName;Model name;Modellname
settings.informations.hardwareVersion;Hardware version;Hardware-Version
settings.informations.softwareVersion;Software version;Software-Version
settings.informations.uiVersion;UI version;UI-Version
settings.informations.updateDate;Last system software update:;Letzte Software-Aktualisierung
settings.informations.epgData;EPG data;EPG-Daten
settings.informations.householdID;Household ID;Haushalts-Kennung
settings.informations.usedCapacityEMMC;Used/capacity eMMC;Genutzte/Kapazität eMMC
settings.informations.usbBack;USB back;USB Hinten
settings.informations.activeConnection;Active connection;Aktive Verbindung
settings.informations.ip;Current IP address;Aktuelle IP-Adresse
settings.informations.wired.mac;Ethernet MAC address;LAN MAC Adresse
settings.informations.wireless.mac;Wireless MAC address;WLAN MAC Adresse
settings.informations.serialNumber;Serial number;Seriennummer
settings.informations.router;Router;Router
settings.informations.speedtest;Speed test;Ein Internet-Speedtest läuft gerade
settings.informations.operationalMode;Operational mode;Betriebsmodus
settings.informations.videoConnectionMode;Video connection mode;Video-Verbindungsmodus
settings.informations.tvModel;TV model;Fernsehgerät
settings.informations.audioConnectionMode;Audio connection mode;Audio-Verbindungsmodus
settings.informations.audioOutput;Audio output;Audio-Wiedergabe
settings.informations.remoteControlMode;Remote control mode;Fernbedienungsmodus
settings.informations.channelNameDVBT;Channel name (DVB-T);DTT-Sender
settings.informations.frequency;Frequency;Frequenz
settings.informations.signalStrength;Signal strength;Signalstärke
settings.informations.ber;BER;BER
settings.informations.channelNameOTT;Channel name (over the top);Internet-TV-Sender
settings.informations.abr;ABR;ABR
settings.informations.environment;Environment;Umgebung
settings.parentalControls;Parental controls;Jugendschutz
settings.parentalControls.whats.popup;Your default PIN is 1234. When it’s turned on, you’ll be asked to enter it when you make payments and some settings changes like turning parental controls on/off.;Deine Standard-PIN lautet %1 und wir empfehlen, sie zu ändern. Diese PIN ist notwendig, um Käufe zu tätigen oder altersbeschränkte Sendungen anzusehen, wenn der Jugendschutz aktiv ist
settings.lockedChannels.customise;Customise;Anpassen
settings.lockedChannels.unlockAll;Unlock all;Alle entsperren
settings.lockedChannels.locked;Locked;Gesperrt
settings.tvChannels.premiumChannels;Premium channels;Nicht-abonnierte Sender verwalten
settings.enterNewPin;Enter new PIN;Neue PIN eingeben
settings.reEnterNewPin;Re-enter new PIN;Neue PIN wiederholen
settings.pinConfirmed;PIN confirmed;PIN bestätigt
settings.ageRatings.universal;Universal;Allgemein
settings.ageRatings.u;U;U
settings.ageRatings.pg;PG;PG
settings.ageRatings.12;12;ab 12
settings.ageRatings.15;15;ab 15
settings.ageRatings.18;18;ab 18
settings.ageRatings.off;Off;inaktiv
settings.network.searchAgain;Search again;Erneut suchen
settings.network.wps.popup;Press the WPS button on your TV box, then on your router to automatically start pairing.;Drücke den WPS-Knopf auf Deiner GigaTV Box und dann den WPS-Knopf auf Deinem Router
settings.network.lan.connect;Connect;Verbinden
settings.network.advanced;Advanced;Erweitert
settings.network.advanced.ipAddress;IP address;IP-Adresse
settings.remote;Remote;Fernbedienung
settings.remotePairing;Remote pairing;Fernbedienung verbinden
settings.remote.batteryStatus;Battery status;Batteriestatus
settings.remote.batteryStatus.fine;Your battery status is OK;Batteriestatus OK
settings.remote.batteryStatus.sheetTitleview;View status;Batteriestatus einsehen
settings.remote.batteryStatus.sheetSubtitleview;Battery status;Batteriestatus
settings.remote.connectionType;Connection type;Art der Verbindung
settings.remote.connectionType.IR;IR;IR
settings.remote.connectionType.infrared;Infrared;Infrarot
settings.remote.connectionType.RF;RF;RF
settings.remote.connectionType.radioFrequency;Radio frequency;Radiofrequenz
settings.tvChannels.autoScan;Auto scan;Automatische Suche
settings.tvChannels.startAutoScan;Start auto scan;Automatischen Sendersuchlauf starten
settings.tvChannels.stopAutoScan;Stop auto scan;Automatischen Sendersuchlauf beenden
settings.tvChannels.channelScan;Channel scan;Sendersuchlauf
settings.tvChannels.currentlyHave;You currently have:<div class='channelsSummary'><div>%1</div><div>Digital</div><div>%2</div><div>TV</div><div>%3</div><div>Radio</div></div>;Aktuelle Sender:<div class='halfSummary'>Kabelsender<div class='channelsSummary'><div>%1 TV</div><div>%2 Radio</div></div></div><div class='halfSummary'>Internetsender<div class='channelsSummary'>%3 TV</div></div></div>
settings.tvChannels.currentlyFound;We've found:<div class='channelsSummary'><div>%1</div><div>Digital</div><div>%2</div><div>TV</div><div>%3</div><div>Radio</div></div>;Gefundene Sender:<div class='halfSummary'>Kabelsender<div class='channelsSummary'><div>%1 TV</div><div>%2 Radio</div></div></div><div class='halfSummary'>Internetsender<div class='channelsSummary'>%3 TV</div></div></div>
settings.tvChannels.weFound;We found:<div class='channelsSummary'><div>%1</div><div>Digital</div><div>%2</div><div>TV</div><div>%3</div><div>Radio</div></div>;Gefundene Sender:<div class='halfSummary'>Kabelsender<div class='channelsSummary'><div>%1 TV</div><div>%2 Radio</div></div></div><div class='halfSummary'>Internetsender<div class='channelsSummary'>%3 TV</div></div></div>
settings.tvChannels.autoSelect;Auto select;Automatische Auswahl
settings.tvChannels.customSelect;Custom select;Manuelle Auswahl
settings.tvChannels.resolveConflict.description;Please confirm your chosen channel:;Welchen Sender bevorzugst Du?
settings.tvChannels.confirmConflictResolution.description;Please confirm your chosen channels:;Bitte bestätige Deine ausgewählten Sender:
mytv.watchnext;Watch next;Jetzt ansehen
mytv.allRecordings;All recordings;Alle Aufnahmen
mytv.scheduledRecordings;Scheduled recordings;Geplante Aufnahmen
mytv.allScheduledRecordings;All scheduled recordings;Alle geplanten Aufnahmen
mytv.allPurchasesAndRentals;All rentals & purchases;Ausgeliehene Inhalte
mytv.wishlist;Record;Merkliste
mytv.allWishlist;Recordings;Merkliste gesamt
mytv.other;Others;Andere
apps.apps;Apps;Apps
apps.myApps;My apps;Meine Apps
apps.new;New;Neu
apps.popular;Popular;Beliebt
apps.education;Education;Bildung
search.searchResults;Search results;Suchergebnisse
search.noResults;No results;Keine Ergebnisse gefunden
programInfo.airedOn;Aired on;Gelaufen am
programInfo.related;Related;Ähnlich
programInfo.recording.record;Record;Aufnehmen
programInfo.actionButtons.watch;Watch;In %1 ansehen
programInfo.actionButtons.watchRecording;Watch your recording;Aufnahme ansehen
programInfo.actionButtons.watchLive;Watch;Live ansehen
programInfo.actionButtons.recordOn;Record episode;Aufnehmen
programInfo.actionButtons.watchCatchup;Watch;In Mediathek ansehen
programInfo.actionButtons.startOver;Restart;Neu starten
programInfo.actionButtons.recordSeries;Record series;Serie aufnehmen
programInfo.actionButtons.cancelRecording;Cancel recording;Aufnahme abbrechen
programInfo.actionButtons.deleteRecording;Delete recording;Aufnahme löschen
programInfo.actionButtons.cancelRecordSeriesOn;Cancel series recording;Serienaufnahme abbrechen
programInfo.actionButtons.deleteRecordSeriesOn;Delete series recording;Serie löschen
programInfo.actionButtons.protect;Protect recording;Aufnahme schützen
programInfo.actionButtons.unprotect;Unprotect recording;Aufnahme nicht mehr schützen
programInfo.actionButtons.trailer;Watch trailer;Trailer ansehen
programInfo.actionButtons.thirdPartyApp;0,01;%1
