key,en-GROUP,pt-PT-x-PT text
firstInstall.wiredNetworkScreen.title,Network,Ligação à Internet
settings.parentalPin.on,On,Ativo
settings.parentalPin.off,Off,Inativo
firstInstall.wiredNetworkSearchScreen.title,Network,Rede
firstInstall.scanSummaryScreen.title,Channels scanned,Pesquisa de canais
settings.termsAndConditions.view,Read our Ts&Cs,Condições gerais
settings.parentalPinInit,Your default PIN is 1234. We recommend you choose a new one now.,O PIN de controlo parental inicial é 0000. Caso tenha alterado o PIN e não se recorde do mesmo, ligue 16913, ou em alternativa +351911691300.
settings.network.lan.connected,Connected,Ligado
firstInstall.remotePairingScreen.title,Remote pairing,Emparelhar comando
firstInstall.wifiNetworkConnectingScreen.title,Network,Wi-Fi
firstInstall.wifiNetworkSelectScreen.title,Network,Wi-Fi
firstInstall.wifiKeyboardScreen.title,Network,Wi-Fi
firstInstall.getHelpScreen.wifi.title,Network,Wi-Fi
firstInstall.finishSetupScreen.title,Your devices,Lista de dispositivos
notification.recording.notAllow,Sorry, you can't record this programme,Este conteúdo não faz parte das suas subscrições. Não é possível gravar.
settings.parentalAndPaiment,Payment & controls,Controlo Parental e de Compras
settings.audioAndVisual.screenResolution,Screen resolution,Formato de imagem
pinEntry.more,See more on PINs in Settings., 
firstInstall.wifiNetworkFoundScreen.description,Your TV box is now connected to Wi-Fi.,A TV Box está <br/> ligada.
settings.remote.remotePair,Pair,Emparelhar
settings.remote.remoteUnpair,Unpair,Remover Emparelhamento
firstInstall.getHelpScreen.channels.title,Channels,Canais TV
settings.parentalControls.ageRating.info,Choosing PIN protection for age-rated programmes will also protect any recordings after 9pm.,O PIN de Controlo Parental inicial é 0000. Sugerimos que defina um novo PIN, caso ainda não o tenha feito.
rails.morefrom,More from,Mais %1
firstInstall.startChannelsScanScreen.title,Channels,Canais TV
settings.parentalAndPaiment.parentalPin,PIN,PIN de controlo parental
settings.parentalPin,PIN,PIN de controlo parental
firstInstall.wiredNetworkFoundScreen.title,You're connected,A TV Box está ligada.
firstInstall.wifiNetworkFoundScreen.title,You're connected,Ligação Wi-Fi estabelecida
keyboard.parentalPin.enter.placeholder,Please enter your new 4-digit PIN,Insira o PIN de controlo parental : 0000 ou o PIN que tiver definido.
keyboard.parentalPin.reEnter.placeholder,Please re-enter your new 4-digit PIN,Repita o PIN de controlo parental
settings.network.wps,WPS,WPS
programInfo.actionButtons.moreRecordSeriesOptions,Record series,Gravar série
firstInstall.manualNetworkConfigurationScreen.title,Network,Rede
common.help,Help,Ajuda
keyboard.wifi.password.placeholder,Enter WiFi password,Palavra-passe da rede Wi-Fi
settings.masterPin.changed,Your PIN's changed,PIN alterado
settings.systemConfigurations.ledBrightness,Brightness,Brilho
settings.network.lan,LAN,Rede local
settings.ledBrightness,Brightness,Brilho
settings.adjustBrightness,Adjust brightness,Ajustar brilho
change volume,Press +/- to change volume,Prima V+/V- para alterar o volume
firstInstall.helloScreen.title.foundAccount,Hi,Bem-vindo
firstInstall.startChannelsScanScreen.description,To set up your TV and radio channels, first make sure your TV aerial is connected.,A pesquisa irá encontrar os canais de TV <br/> disponíveis na sua região.
settings.audioDescription.off,Off,Inativo
settings.subtitles.off,Off,Inativas
settings.powerSaving.quickBoot.on,On,Ligado
settings.powerSaving.quickBoot.off,Off,Desligado
common.done,Done,Concluído
firstInstall.remotePairingSuccessScreen.description,Your TV box is now paired with your remote.,O comando foi emparelhado com sucesso com a <br/> TV Box.
settings.recordings.boxSpace,Storage,Armazenamento
settings.remote.batteryStatus.view,View status,Estado das baterias
programInfo.catchup.watch,Watch,Ver
programInfo.watch,Watch,Ver
badging.parentalLock.on,Parental lock on,Bloqueado
firstInstall.operatorPairingScreen.title,Please call us,Contacte-nos
firmwareUpdate.description.countdown,Update starts in:,A TV Box irá reiniciar em %1
settings.masterPin.turnOff,PIN off,Desativar PIN
settings.masterPin.turnOn,PIN on,Ativar PIN
settings.masterPin.changePin,Change your PIN,Alterar PIN
settings.systemConfigurations.updates.upToDate,You already have the latest updates.,Atualizado
settings.lockedChannels,Locked channels,Bloquear canais de TV
mytv.recordings,Recordings,Gravações
mytv.purchasesAndRentals,Purchases & rentals,Alugueres
programInfo.actionButtons.moreRecordOptions,Record episode,Gravar episódio
programInfo.actionButtons.buyLabel,Buy,Comprar %1
programInfo.actionButtons.rentLabel,Rent,Alugar %1
programInfo.actionButtons.bought,Purchased,Comprado
programInfo.actionButtons.rented,Rented,Alugado
badging.parentalLock.off,Parental lock off,Desbloqueado
badging.recordable,Available to record,Pode ser gravado.
firstInstall.wifiNetworkSelector.joinOtherNetwork,Join other network,Ligar a outra rede
firstInstall.buttons.getHelp,Get help,Ajuda
firmwareUpdate.description.inProgress,Updating now, please wait.,A atualizar a TV Box. Por favor aguarde.
settings.masterPin.turnedOff,PIN off,O PIN está inativo
settings.masterPin.turnedOn,PIN on,O PIN está ativo
settings.parentalControls.lockedChannels,Lock channels,Bloquear canais de TV
settings.network.joinOtherNetwork,Join other network,Ligar a outra rede
popups.wifi.buttons.getHelp,Get help,Ajuda
common.tryAgain,Try again,Tente de novo, por favor.
firstInstall.remotePairingSuccessScreen.title,Now paired,Emparelhado
firstInstall.buttons.wifi,WiFi,Wi-Fi
firstInstall.buttons.backToWifiList,Back to WiFi list,Voltar
firstInstall.buttons.abort,Stop,Parar
keyboard.wifi.ssid.placeholder,Enter network name:,Insira o nome da rede:
settings.masterPin.whats,See your PIN,Informação sobre o PIN
settings.informations.OUI,OUI,OUI
settings.informations.updateStatus,Last system software update:,Estado da última atualização de Software.
settings.informations.chipID,ID,ID
settings.parentalControls.ageRating,Age rating,Nível etário
settings.parentalControls.whats,See your PIN,Informação sobre PIN
settings.parentalControls.okay,Okay,OK
settings.lockedChannels.permitted,Allowed,Permitido
settings.boxSpaceProgression,You're using %1% of your available space,Está a ser utilizado %1% do espaço de gravação.
settings.remote.itsPaired,Now paired,Emparelhado
popups.storage.buttons.buyMore,Buy more storage,Histórico de compras
popups.settings.audioAndVisual.screenResolution,Save resolution?,Gravar alterações?
rails.notitle,No title,Sem título
badging.recording,Recording,Gravação
notification.seriesRecording.start,Schedule series recording,Foi agendada a gravação da série
watch,Watch,Ver em %1
volume,Volume:,Volume
Today,Today,Hoje
Tomorrow,Tomorrow,Amanhã
Yesterday,Yesterday,Ontem
locked,Locked,Bloqueado
mainMenu.myTV.title,MY TV,A Minha TV
mainMenu.browse.title,ON DEMAND,Videoclube
mainMenu.myTVCoverflow.title,Watch next,Continuar a ver
mainMenu.appsCoverflow.title,MY apps,Ver mais
mainMenu.tvGuide.title,TV GUIDE,Guia TV
mainMenu.apps.title,APPS,Apps
mainMenu.search,Search,Pesquisa
mainMenu.settings,Settings,Configurações
mainMenu.allChannelsTvGuide.title,All channels,Todos os canais
common.noData,No information,Sem informação
common.noItem,No item,Vazio
common.onNow,On now,No ar agora
common.launchApp,Launch app,Iniciar
common.launch,Launch,Iniciar
common.onNext,On next,A seguir
common.onLater,On later,Mais tarde
common.onTomorrow,On tomorrow,Amanhã
common.today,Today,Hoje
common.tomorrow,Tomorrow,Amanhã
common.yesterday,Yesterday,Ontem
common.continue,Continue,Continuar
common.popular,Popular,Popular
common.cancel,Cancel,Cancelar
common.yes,Yes,Sim
common.no,No,Não
common.skip,Skip,Saltar
common.notAvailable,Not available,Indisponível
common.okay,Okay,OK
common.noSynopsis,Synopsis unavailable,Sem informação
common.channel,channel,Canal
common.channels,channels,Canais
language.eng,English,Inglês
language.fra,Français,Francês
language.ita,Italiano,Italiano
language.deu,Deutsch,Alemão
language.spa,Español,Espanhol
language.swe,Svenska,Sueco
language.tur,Türk,Turco
liveScreen.noChannel,Channel unavailable,Canal indisponível. Se precisar de ajuda aceda a Menu>Apps>Ajuda TOBi e selecione a opção Mensagens de Erro.
date.format.smallday0,Sun,dom
date.format.smallday1,Mon,seg
date.format.smallday2,Tue,ter
date.format.smallday3,Wed,qua
date.format.smallday4,Thu,qui
date.format.smallday5,Fri,sex
date.format.smallday6,Sat,sáb
date.format.day0,Sunday,domingo
date.format.day1,Monday,segunda-feira
date.format.day2,Tuesday,terça-feira
date.format.day3,Wednesday,quarta-feira
date.format.day4,Thursday,quinta-feira
date.format.day6,Saturday,sábado
date.format.smallmonth0,Jan,jan
date.format.smallmonth1,Feb,fev
date.format.smallmonth2,Mar,mar
date.format.smallmonth3,Apr,abr
date.format.smallmonth4,May,mai
date.format.smallmonth5,Jun,jun
date.format.smallmonth6,Jul,jul
date.format.smallmonth7,Aug,ago
date.format.smallmonth8,Sep,set
date.format.smallmonth9,Oct,out
date.format.smallmonth10,Nov,nov
date.format.smallmonth11,Dec,dez
date.format.month0,January,janeiro
date.format.month1,February,fevereiro
date.format.month2,March,março
date.format.month3,April,abril
date.format.month4,May,maio
date.format.month5,June,junho
date.format.month6,July,julho
date.format.month7,August,agosto
date.format.month8,September,setembro
date.format.month9,October,outubro
date.format.month10,November,novembro
date.format.month11,December,dezembro
network.error.ssid.tooShort,Network name too short, please enter another one and try again.,O nome de rede inserido é demasiado curto.
network.error.password.tooShort,Password is too short, please enter another one with more digits and try again.,A palavra-passe inserida é demasiado curta
firstInstall.languageScreen.title,Language,Idioma
firstInstall.remoteUnPairingScreen.title,Remote pairing,Emparelhar comando
firstInstall.helpBar.toSelect,Choose,Selecionar
firstInstall.helpBar.toGoBack,Back,Voltar
firstInstall.wifiNetworkSelectScreen.description,Press the WPS button on your TV box until the connection confirmation screen appears, or enter your Wi-Fi details:,Inserir dados da rede Wi-Fi
firstInstall.wifiKeyboardScreen.ssid.description,Enter network name:,Nome da rede:
firstInstall.wifiKeyboardScreen.password.description,Enter Wi-Fi password:,Palavra passe:
firstInstall.wifiNetworkSelector.searchAgain,Search again,Pesquisar de novo
firstInstall.helloScreen.title.searchingAccount,One moment,A ligar
firstInstall.conflictedChannelsFoundScreen.title,Channels,Canais
firstInstall.conflictedChannelsFoundScreen.description,Your aerial is picking up multiple regions for %1 %2. Please choose:,Detetadas múltiplas regiões para <br/> %1 %2. Selecione:
firstInstall.resolveChannelConflictScreen.title,Channel %1,Canal %1
firstInstall.resolveChannelConflictScreen.description,Please choose one of the following options:,Selecione uma das seguintes opções:
firstInstall.conflictResolutionConfirmScreen.title,Confirm channels,Confirmar canais
firstInstall.conflictResolutionConfirmScreen.description,Please confirm your chosen channels:,Por favor confirme a sua seleção de canais
firstInstall.buttons.pairLater,Pair later,Emparelhar mais tarde
firstInstall.buttons.connect,Connect,Ligar
firstInstall.buttons.ethernet,Ethernet,Cabo de rede
firstInstall.buttons.tryAgain,Try again,Tente de novo
firstInstall.buttons.tryAgainDHCP,Try again with DHCP,Tente de novo (DHCP)
firstInstall.buttons.connectWifi,Connect with WiFi,Ligar por Wi-Fi
firstInstall.buttons.advanced,Advanced,Avançado
firstInstall.buttons.continue,Continue,Continuar
firstInstall.buttons.next,Next,Seguinte
firstInstall.buttons.confirm,Confirm,Confirmar
firstInstall.buttons.startScanning,Start scanning,Iniciar pesquisa
firstInstall.buttons.finishSetup,Finish setup,Ver TV
firstInstall.buttons.skip,Skip,Saltar
firstInstall.buttons.startWatching,Start watching,Começar a ver
firstInstall.buttons.autoSelect,Auto select,Seleção automática
firstInstall.buttons.customSelect,Custom select,Seleção personalizada
firstInstall.helpBar.help,Help,Ajuda
keyboard.masterPin.enter.placeholder,Please enter your new 4-digit PIN,Insira o seu PIN
keyboard.masterPin.reEnter.placeholder,Please re-enter your new 4-digit PIN,Repita o seu PIN
keyboard.lockedChannels.placeholder,Channel number,Número do Canal
firmwareUpdate.title,Please wait while your box updates.,A TV Box está a ser atualizada. Por favor aguarde.
firmwareUpdate.buttonsBar.updateNow,Update now,Atualizar agora
settings.masterPin,PIN,PIN
settings.masterPin.okay,Okay,OK
settings.masterPin.changeMyPin,Change your PIN,Alterar PIN
settings.masterPin.whats.popup,Your default PIN is 1234,O PIN de controlo parental inicial é 0000. Caso tenha alterado o PIN e não se recorde do mesmo, ligue 16913, ou em alternativa +351911691300.
settings.parentalAndPaiment.paymentPin,PIN,PIN
settings.recordings,Recordings,Gravações
settings.recordings.deleteAll,Delete all,Apagar todos
settings.recordings.delete.dont,Don't delete all,Não apagar todos
settings.recordings.activate.dont,Don't activate,Não ativar
settings.recordings.autoDelete,Auto delete,Apagar automáticamente
settings.recordings.buySpace,Buy space,Pouco espaço de gravação disponível
settings.language,Language,Idioma
settings.accessibility,Accessibility,Acessibilidade
settings.accessibility.audioDescription,Audio description,Audiodescrição
settings.accessibility.subtitles,Subtitles,Legendas
settings.termsAndConditions,Terms & conditions,Termos e condições
settings.termsAndConditionsPageTitle,Terms & conditions,Termos e condições
settings.systemConfigurations.network,Network,Rede
settings.systemConfigurations.remote,Remote,Comando
settings.systemConfigurations.tvChannels,TV channels,Canais TV
settings.systemConfigurations.audioAndVisual,Audio & visual,Áudio e vídeo
settings.systemConfigurations.clockSettings,Clock settings,Definições de relógio
settings.clockSettings.hourFormats.12,am / pm,AM / PM
settings.clockSettings.hourFormats.24,24 hour,24 Horas
settings.systemConfigurations.updates,Updates,Atualizações
settings.systemConfigurations.updates.updateAvailable,Software update available. Please wait a few minutes while your TV box restarts and installs the update.,Atualização disponível. Por favor aguarde alguns minutos enquanto a Tv Box atualiza. No final da atualização a TV Box irá reinicializar.
settings.systemConfigurations.information,Information,Informação
settings.informations.buttons.general,General,Geral
settings.informations.buttons.audioAndVideo,Audio & video,Áudio e vídeo
settings.informations.buttons.tvQuality,TV quality,Qualidade TV
settings.informations.title,Box information,Informação da TV Box
settings.informations.brandName,Brand name,Fabricante
settings.informations.modelName,Model name,Modelo
settings.informations.hardwareVersion,Hardware version,Versão de Hardware
settings.informations.softwareVersion,Software version,Versão de Software
settings.informations.uiVersion,UI version,Versão da UI
settings.informations.updateDate,Last system software update:,Data da última atualização
settings.informations.epgData,EPG data,Informação do Guia TV
settings.informations.householdID,Household ID,Número de conta
settings.informations.usedCapacityEMMC,Used/capacity eMMC,Utilização de memória não volátil
settings.informations.usbBack,USB back,USB
settings.informations.activeConnection,Active connection,Ligação ativa
settings.informations.ip,Current IP address,Endereço IP atual
settings.informations.wired.mac,Ethernet MAC address,Ethernet MAC Address
settings.informations.wireless.mac,Wireless MAC address,Wi-Fi MAC Address
settings.informations.serialNumber,Serial number,Número de série
settings.informations.router,Router,Router
settings.informations.speedtest,Speed test,Teste de velocidade acesso
settings.informations.operationalMode,Operational mode,Modo operacional
settings.informations.videoConnectionMode,Video connection mode,Modo de ligação de vídeo
settings.informations.tvModel,TV model,Modelo da TV
settings.informations.audioConnectionMode,Audio connection mode,Modo de ligação áudio
settings.informations.audioOutput,Audio output,Saída de áudio
settings.informations.remoteControlMode,Remote control mode,Modo do comando
settings.informations.channelNameDVBT,Channel name (DVB-T),Nome de canal TDT
settings.informations.frequency,Frequency,Frequência
settings.informations.signalStrength,Signal strength,Força do sinal
settings.informations.ber,BER,BER
settings.informations.channelNameOTT,Channel name (over the top),Nome do canal web
settings.informations.abr,ABR,ABR
settings.informations.environment,Environment,Ambiente
settings.parentalControls,Parental controls,Controlo parental : O PIN inicial é 0000
settings.parentalControls.whats.popup,Your default PIN is 1234. When it’s turned on, you’ll be asked to enter it when you make payments and some settings changes like turning parental controls on/off.,O seu PIN por omissão é %1. Recomendamos que o altere.
settings.lockedChannels.customise,Customise,Configurar
settings.lockedChannels.unlockAll,Unlock all,Desbloquear tudo
settings.lockedChannels.locked,Locked,Bloqueado
settings.tvChannels.premiumChannels,Premium channels,Mostrar canais não subscritos
settings.enterNewPin,Enter new PIN,Insira um novo PIN
settings.reEnterNewPin,Re-enter new PIN,Repita o PIN inserido
settings.pinConfirmed,PIN confirmed,PIN confirmado
settings.ageRatings.universal,Universal,Para todos
settings.ageRatings.u,U,Para todos
settings.ageRatings.pg,PG,PG
settings.ageRatings.12,12,M12
settings.ageRatings.15,15,M15
settings.ageRatings.18,18,M18
settings.ageRatings.off,Off,Inativo
settings.network.searchAgain,Search again,Pesquisar de novo
settings.network.wps.popup,Press the WPS button on your TV box, then on your router to automatically start pairing.,Pressione o botão WPS da TV Box. De seguida pressione o botão WPS do Router.
settings.network.lan.connect,Connect,Ligar
settings.network.advanced,Advanced,Avançado
settings.network.advanced.ipAddress,IP address,Endereço IP
settings.remote,Remote,Comando
settings.remotePairing,Remote pairing,Emparelhar comando
settings.remote.batteryStatus,Battery status,Nível das baterias
settings.remote.batteryStatus.fine,Your battery status is OK,Baterias OK
settings.remote.batteryStatus.sheetTitleview,View status,Ver nível das baterias
settings.remote.batteryStatus.sheetSubtitleview,Battery status,Nível das baterias
settings.remote.connectionType,Connection type,Tipo de ligação
settings.remote.connectionType.IR,IR,IR
settings.remote.connectionType.infrared,Infrared,Infravermelhos
settings.remote.connectionType.RF,RF,RF
settings.remote.connectionType.radioFrequency,Radio frequency,Radiofrequência
settings.tvChannels.autoScan,Auto scan,Pesquisa automática
settings.tvChannels.startAutoScan,Start auto scan,Iniciar pesquisa automática
settings.tvChannels.stopAutoScan,Stop auto scan,Parar pesquisa automática
settings.tvChannels.channelScan,Channel scan,Pesquisa de canais
settings.tvChannels.currentlyHave,You currently have:<div class='channelsSummary'><div>%1</div><div>Digital</div><div>%2</div><div>TV</div><div>%3</div><div>Radio</div></div>,Canais atuais:<div class='halfSummary'>Free-to-air<div class='channelsSummary'><div>%1 TV</div><div>%2 Radio</div></div></div><div class='halfSummary'>IPTV<div class='channelsSummary'>%3 TV</div></div></div>
settings.tvChannels.currentlyFound,We've found:<div class='channelsSummary'><div>%1</div><div>Digital</div><div>%2</div><div>TV</div><div>%3</div><div>Radio</div></div>,Canais encontrados:<div class='halfSummary'>TDT<div class='channelsSummary'><div>%1 TV</div><div>%2 Radio</div></div></div><div class='halfSummary'>IPTV<div class='channelsSummary'>%3 TV</div></div></div>
settings.tvChannels.weFound,We found:<div class='channelsSummary'><div>%1</div><div>Digital</div><div>%2</div><div>TV</div><div>%3</div><div>Radio</div></div>,Channels encontrados:<div class='halfSummary'>Free-to-air<div class='channelsSummary'><div>%1 TV</div><div>%2 Radio</div></div></div><div class='halfSummary'>IPTV<div class='channelsSummary'>%3 TV</div></div></div>
settings.tvChannels.autoSelect,Auto select,Pesquisa automática
settings.tvChannels.customSelect,Custom select,Pesquisa manual
settings.tvChannels.resolveConflict.description,Please confirm your chosen channel:,Que canal prefere?:
settings.tvChannels.confirmConflictResolution.description,Please confirm your chosen channels:,Por favor confirme os canais escolhidos:
mytv.watchnext,Watch next,Continuar a ver
mytv.allRecordings,All recordings,Todas as gravações
mytv.scheduledRecordings,Scheduled recordings,Gravações agendadas
mytv.allScheduledRecordings,All scheduled recordings,Todas as gravações agendadas
mytv.allPurchasesAndRentals,All rentals & purchases,Todos os alugueres
mytv.wishlist,Record,A minha lista
mytv.allWishlist,Recordings,Todas as listas
mytv.other,Others,Outros
apps.apps,Apps,Aplicações
apps.myApps,My apps,As minhas aplicações
apps.new,New,Novo
apps.popular,Popular,Popular
apps.education,Education,Educação
search.searchResults,Search results,Resultados da pesquisa
search.noResults,No results,Não foram encontrados resultados para esta pesquisa
programInfo.airedOn,Aired on,No ar em
programInfo.related,Related,Relacionado
programInfo.recording.record,Record,Gravar
programInfo.actionButtons.watch,Watch,Ver %1
programInfo.actionButtons.watchRecording,Watch your recording,Ver gravação
programInfo.actionButtons.watchLive,Watch,Ver em direto
programInfo.actionButtons.recordOn,Record episode,Gravar
programInfo.actionButtons.watchCatchup,Watch,Voltar a ver
programInfo.actionButtons.startOver,Restart,Ver do início
programInfo.actionButtons.recordSeries,Record series,Gravar série
programInfo.actionButtons.cancelRecording,Cancel recording,Cancelar gravação
programInfo.actionButtons.deleteRecording,Delete recording,Apagar gravação
programInfo.actionButtons.cancelRecordSeriesOn,Cancel series recording,Cancelar gravação da série
programInfo.actionButtons.deleteRecordSeriesOn,Delete series recording,Apagar série
programInfo.actionButtons.protect,Protect recording,Proteger gravação
programInfo.actionButtons.unprotect,Unprotect recording,Remover proteção
programInfo.actionButtons.trailer,Watch trailer,Ver trailer
programInfo.actionButtons.thirdPartyApp,0,01,%1
programInfo.actionButtons.wishlist.remove,Remove,Remover da lista
programInfo.actionButtons.wishlist.add,Schedule record,Adicionar à lista
programInfo.actionButtons.watchContent,Watch %1,Ver em %1
programInfo.actionButtons.buy,Buy,Comprar
programInfo.actionButtons.rent,Rent,Alugar
programInfo.actionButtons.confirm4K,Your current resolution is not 4K. To watch 4K content your TV must be 4K-ready. Are you sure you want to continue?,A sua TV não deverá estar preparada para ver conteúdos 4K (Ultra HD). Deseja continuar?
minutes.acronym,mins,min
minute.acronym,min,min
settings.audioAndVisual.audioOutput,Audio output,Saída de áudio
settings.audioAndVisual.audioOutput.stereo,Stereo,Stereo
settings.audioAndVisual.audioOutput.dolbyAudio,Dolby Audio,Dolby Audio
settings.audioAndVisual.hdmiAudioOutput,HDMI audio output,Saída de àudio HDMI
settings.audioAndVisual.on,On,Ativo
settings.audioAndVisual.off,Off,Inativo
settings.audioAndVisual.screenResolution.576p,576p,576p
settings.audioAndVisual.screenResolution.720p,720p,720p
settings.audioAndVisual.screenResolution.1080p,1080p,1080p
settings.audioAndVisual.screenResolution.4k,4K,4K
settings.systemConfigurations.powerSaving,Power,Poupança de energia
settings.powerSaving.quickBoot,Power saving mode,Modo de poupança de energia
settings.powerSaving.autoStandbyTime,Auto standby time,Temporizador de desligar automático
settings.powerSaving.autoStandbyTime.3h,3 hours,3 Horas
settings.powerSaving.autoStandbyTime.6h,6 hours,6 Horas
settings.powerSaving.autoStandbyTime.12h,12 hours,12 Horas
settings.powerSaving.autoStandbyTime.off,Off,Inativo
settings.conflictedChannelsFoundScreen.description,Your aerial is picking up multiple regions for <insert>. Please choose an option:,Encontradas várias regiões para <strong>%1 %2</strong>. Que canal prefere?
popups.powerSaving.buttons.cancel,Cancel standby,Cancelar Stand By
popups.powerSaving.buttons.adjust,Change auto standby,Alterar Configurações
network.ipAddress,IP address,Endereço IP
