key;en-GROUP;el-GR-x-GR text
firstInstall.pairingPinInputScreen.description;Something went wrong, sorry – please call us on 08080 034 515;Παρακαλώ καλέστε το 13830 για να ολοκληρωθεί η εγκατάσταση
popups.reboot.title;Sorry, your box needs to reboot.;Ο αποκωδικοποιητής σας χρειάζεται επανεκκίνηση
settings.powerSaving.autoStandbyTime.hint;Remember, increasing auto standby time will use more power.;Προσοχή: Η αύξηση του χρόνου συνεπάγεται περισσότερη κατανάλωση ρεύματος
popups.upgrade.misc;Your box will reboot;Επανεκκίνηση του αποκωδικοποιητή σε %1
firstInstall.wiredNetworkScreen.title;Network;Σύνδεση με το διαδίκτυο
settings.parentalPin.on;On;Ανοιχτό
settings.parentalPin.off;Off;Κλειστό
firstInstall.wiredNetworkSearchScreen.title;Network;Δίκτυο
firstInstall.scanSummaryScreen.title;Channels scanned;Διαθέσιμα κανάλια:
settings.termsAndConditions.view;Read our Ts&Cs;Όροι χρήσης
settings.parentalPinInit;Your default PIN is 1234. We recommend you choose a new one now.;Το αρχικό PIN είναι 1234
settings.network.lan.connected;Connected;Συνδεδεμένο
firstInstall.remotePairingScreen.title;Remote pairing;Σύνδεση τηλεχειριστηρίου
firstInstall.wifiNetworkConnectingScreen.title;Network;Wi-Fi
firstInstall.wifiNetworkSelectScreen.title;Network;Wi-Fi
firstInstall.wifiKeyboardScreen.title;Network;Wi-Fi
firstInstall.getHelpScreen.wifi.title;Network;Wi-Fi
firstInstall.finishSetupScreen.title;Your devices;Οι συσκευές σας
notification.recording.notAllow;Sorry, you can't record this programme;Αδυναμία εγγραφής. Για να πραγματοποιήσετε την εγγραφή θα πρέπει να εγγραφείτε.
settings.parentalAndPaiment;Payment & controls;Χρεώσεις & Έλεγχος
settings.audioAndVisual.screenResolution;Screen resolution;Ανάλυση οθόνης
pinEntry.more;See more on PINs in Settings.;Δείτε περισσότερα στο www.vodafone.gr/tv
firstInstall.wifiNetworkFoundScreen.description;Your TV box is now connected to Wi-Fi.;Ο αποκωδικοποιητής σας είναι <br/> συνδεδεμένος στην υπηρεσία
settings.remote.remotePair;Pair;Σύνδεση
settings.remote.remoteUnpair;Unpair;Αποσύνδεση
firstInstall.getHelpScreen.channels.title;Channels;Κανάλια
settings.parentalControls.ageRating.info;Choosing PIN protection for age-rated programmes will also protect any recordings after 9pm.;Η ενεργοποίηση του γονικού ελέγχου θα εφαρμοστεί και σε όλες τις εγγραφές.
rails.morefrom;More from;Περισσότερα από %1
firstInstall.startChannelsScanScreen.title;Channels;Κανάλια
settings.parentalAndPaiment.parentalPin;PIN;PIN
settings.parentalPin;PIN;PIN
firstInstall.wiredNetworkFoundScreen.title;You're connected;Έχετε συνδεθεί
firstInstall.wifiNetworkFoundScreen.title;You're connected;Συνδεθήκατε στο Wi-Fi
keyboard.parentalPin.enter.placeholder;Please enter your new 4-digit PIN;Πληκτρολογήστε το 4-ψήφιο PIN
keyboard.parentalPin.reEnter.placeholder;Please re-enter your new 4-digit PIN;Πληκτρολογήστε ξανά το 4-ψήφιο PIN
settings.network.wps;WPS;WPS
programInfo.actionButtons.moreRecordSeriesOptions;Record series;Εγγραφή όλων των επεισοδίων
firstInstall.manualNetworkConfigurationScreen.title;Network;Δίκτυο
common.help;Help;Υποστήριξη
keyboard.wifi.password.placeholder;Enter WiFi password;Εισάγετε τον κωδικό του Wi-Fi
settings.masterPin.changed;Your PIN's changed;Το PIN άλλαξε
settings.systemConfigurations.ledBrightness;Brightness;Φωτεινότητα
settings.network.lan;LAN;Σύνδεση με καλώδιο ethernet
settings.ledBrightness;Brightness;Φωτεινότητα
settings.adjustBrightness;Adjust brightness;Ρυθμίσεις Φωτεινότητας
change volume;Press +/- to change volume;Πιέστε +/- για να ρυθμίσετε τον ήχο
firstInstall.helloScreen.title.foundAccount;Hi;Γεια!
firstInstall.startChannelsScanScreen.description;To set up your TV and radio channels, first make sure your TV aerial is connected.;Για την αναζήτηση τηλεοπτικών και ραδιοφωνικών σταθμών<br/> συνδέστε την κεραία της τηλεόρασης στον αποκωδικοποιητή.
settings.audioDescription.off;Off;Απενεργοποίηση
settings.subtitles.off;Off;Απενεργοποίηση
settings.powerSaving.quickBoot.on;On;Υψηλή εξοικονόμηση
settings.powerSaving.quickBoot.off;Off;Χαμηλή εξοικονόμηση
common.done;Done;ΟΚ
firstInstall.remotePairingSuccessScreen.description;Your TV box is now paired with your remote.;Το τηλεκοντρόλ συνδέθηκε με τον<br/> αποκωδικοποιητή
settings.recordings.boxSpace;Storage;Αποθηκευτικός χώρος
settings.remote.batteryStatus.view;View status;Κατάσταση μπαταριών
programInfo.catchup.watch;Watch;Δείτε στο Replay TV
programInfo.watch;Watch;Παρακολούθηση
badging.parentalLock.on;Parental lock on;Γονικός έλεγχος ενεργοποιημένος
firstInstall.operatorPairingScreen.title;Please call us;Επικοινωνία
firmwareUpdate.description.countdown;Update starts in:;Επανεκκίνηση του αποκωδικοποιητή σε %1
settings.masterPin.turnOff;PIN off;Απενεργοποίηση
settings.masterPin.turnOn;PIN on;PIN ενεργοποιημένο
settings.masterPin.changePin;Change your PIN;Αλλαγή PIN
settings.systemConfigurations.updates.upToDate;You already have the latest updates.;Δεν υπάρχει διαθέσιμη αναβάθμιση.
settings.lockedChannels;Locked channels;Κλειδωμένα κανάλια
mytv.recordings;Recordings;Εγγραφές
mytv.purchasesAndRentals;Purchases & rentals;Ενοικιάσεις
programInfo.actionButtons.moreRecordOptions;Record episode;Εγγραφή επεισοδίου
programInfo.actionButtons.buyLabel;Buy;Αγορά %1
programInfo.actionButtons.rentLabel;Rent;Ενοικίαση %1
programInfo.actionButtons.bought;Purchased;Η αγορά ολοκληρώθηκε
programInfo.actionButtons.rented;Rented;Νοικιασμένο
badging.parentalLock.off;Parental lock off;Γονικός έλεγχος απενεργοποιημένος
badging.recordable;Available to record;Διαθέσιμο για εγγραφή
firstInstall.wifiNetworkSelector.joinOtherNetwork;Join other network;Συνδεθείτε σε άλλο δίκτυο
firstInstall.buttons.getHelp;Get help;Υποστήριξη
firmwareUpdate.description.inProgress;Updating now, please wait.;Αναβάθμιση αποκωδικοποιητή, παρακαλώ περιμένετε.
settings.masterPin.turnedOff;PIN off;Aπενεργοποιημένο
settings.masterPin.turnedOn;PIN on;PIN ενεργοποιημένο
settings.parentalControls.lockedChannels;Lock channels;Κλείδωμα καναλιών
settings.network.joinOtherNetwork;Join other network;Συνδεθείτε σε άλλο δίκτυο
popups.wifi.buttons.getHelp;Get help;Υποστήριξη
common.tryAgain;Try again;Προσπαθήστε ξανά
firstInstall.remotePairingSuccessScreen.title;Now paired;Σύνδεση επιτυχής
firstInstall.buttons.wifi;WiFi;Wi-Fi
firstInstall.buttons.backToWifiList;Back to WiFi list;Επιστροφή
firstInstall.buttons.abort;Stop;Διακοπή
keyboard.wifi.ssid.placeholder;Enter network name:;Εισάγετε το όνομα του δικτύου:
settings.masterPin.whats;See your PIN;Πληροφορίες PIN
settings.informations.OUI;OUI;OUI
settings.informations.updateStatus;Last system software update:;Τελευταία αναβάθμιση λογισμικού
settings.informations.chipID;ID;ID
settings.parentalControls.ageRating;Age rating;Διαχείριση καταλληλότητας
settings.parentalControls.whats;See your PIN;Πληροφορίες PIN
settings.parentalControls.okay;Okay;ΟΚ
settings.lockedChannels.permitted;Allowed;Διαθέσιμο
settings.boxSpaceProgression;You're using %1% of your available space;Χρησιμοποιείτε το %1% των διαθέσιμων ωρών
settings.remote.itsPaired;Now paired;Συγχρονισμένο
popups.storage.buttons.buyMore;Buy more storage;Αγορά αποθηκευτικού χώρου
popups.settings.audioAndVisual.screenResolution;Save resolution?;"Αποθήκευση ρυθμίσεων;"
rails.notitle;No title;Χωρίς τίτλο
badging.recording;Recording;Γίνεται εγγραφή
notification.seriesRecording.start;Schedule series recording;Τα επεισόδιά προστέθηκαν για εγγραφή
watch;Watch;Παρακολούθηση σε %1
volume;Volume:;Ήχος: %1
Today;Today;Σήμερα
Tomorrow;Tomorrow;Αύριο
Yesterday;Yesterday;Χθές
locked;Locked;Κλειδωμένο
mainMenu.myTV.title;MY TV;My Home
mainMenu.browse.title;ON DEMAND;On Demand
mainMenu.myTVCoverflow.title;Watch next;Συνεχίστε την παρακολούθηση
mainMenu.appsCoverflow.title;MY apps;Περισσότερα
mainMenu.tvGuide.title;TV GUIDE;ΟΔΗΓΟΣ ΠΡΟΓΡΑΜΜΑΤΟΣ
mainMenu.apps.title;APPS;Εφαρμογές
mainMenu.search;Search;Αναζήτηση
mainMenu.settings;Settings;Ρυθμίσεις
mainMenu.allChannelsTvGuide.title;All channels;Όλα τα κανάλια
common.noData;No information;Δεν υπάρχουν πληροφορίες
common.noItem;No item;'Αδειο
common.onNow;On now;Δείτε τώρα
common.launchApp;Launch app;Έναρξη εφαρμογής
common.launch;Launch;Έναρξη
common.onNext;On next;Επόμενο
common.onLater;On later;Αργότερα
common.onTomorrow;On tomorrow;Αύριο
common.today;Today;Σήμερα
common.tomorrow;Tomorrow;Αύριο
common.yesterday;Yesterday;Χθες
common.continue;Continue;Συνέχεια
common.popular;Popular;Δημοφιλέστερες
common.cancel;Cancel;Ακύρωση
common.yes;Yes;Ναι
common.no;No;Όχι
common.skip;Skip;Παράβλεψη
common.notAvailable;Not available;Μη διαθέσιμο
common.okay;Okay;ΟΚ
common.noSynopsis;Synopsis unavailable;Περίληψη μη διαθέσιμη
common.channel;channel;Κανάλι
common.channels;channels;Κανάλια
language.eng;English;Αγγλικά
language.fra;Français;Γαλλικά
language.ita;Italiano;Ιταλικά
language.deu;Deutsch;Γερμανικά
language.spa;Español;Ισπανικά
language.swe;Svenska;Σλοβένικα
language.tur;Türk;Τούρκικα
liveScreen.noChannel;Channel unavailable;Το κανάλι δεν είναι διαθέσιμο
date.format.smallday0;Sun;Κυ
date.format.smallday1;Mon;Δε
date.format.smallday2;Tue;Τρ
date.format.smallday3;Wed;Τε
date.format.smallday4;Thu;Πέ
date.format.smallday5;Fri;Πα
date.format.smallday6;Sat;Σα
date.format.day0;Sunday;Κυριακή
date.format.day1;Monday;Δευτέρα
date.format.day2;Tuesday;Τρίτη
date.format.day3;Wednesday;Τετάρτη
date.format.day4;Thursday;Πέμπτη
date.format.day6;Saturday;Σάββατο
date.format.smallmonth0;Jan;Ιαν
date.format.smallmonth1;Feb;Φεβ
date.format.smallmonth2;Mar;Μαρ
date.format.smallmonth3;Apr;Απρ
date.format.smallmonth4;May;Μάι
date.format.smallmonth5;Jun;Ιουν
date.format.smallmonth6;Jul;Ιουλ
date.format.smallmonth7;Aug;Αυγ
date.format.smallmonth8;Sep;Σεπ
date.format.smallmonth9;Oct;Οκτ
date.format.smallmonth10;Nov;Νοε
date.format.smallmonth11;Dec;Δεκ
date.format.month0;January;Ιανουαρίου
date.format.month1;February;Φεβρουαρίου
date.format.month2;March;Μαρτίου
date.format.month3;April;Απριλίου
date.format.month4;May;Μαΐου
date.format.month5;June;Ιουνίου
date.format.month6;July;Ιουλίου
date.format.month7;August;Αυγούστου
date.format.month8;September;Σεπτεμβρίου
date.format.month9;October;Οκτωβρίου
date.format.month10;November;Νοεμβρίου
date.format.month11;December;Δεκεμβρίου
network.error.ssid.tooShort;Network name too short, please enter another one and try again.;Το όνομα δικτύου είναι πολύ μικρό. Παρακαλώ δοκιμάστε ξανά.
network.error.password.tooShort;Password is too short, please enter another one with more digits and try again.;Ο κωδικός που εισάγατε είναι πολύ μικρός. Παρακαλώ δοκιμάστε ξανά.
firstInstall.languageScreen.title;Language;Γλώσσα
firstInstall.remoteUnPairingScreen.title;Remote pairing;Σύνδεση τηλεχειριστηρίου
firstInstall.helpBar.toSelect;Choose;Επιλογή
firstInstall.helpBar.toGoBack;Back;Προηγούμενο
firstInstall.wifiNetworkSelectScreen.description;Press the WPS button on your TV box until the connection confirmation screen appears, or enter your Wi-Fi details:;Εισάγετε τα στοιχεία του Wi-Fi:
firstInstall.wifiKeyboardScreen.ssid.description;Enter network name:;Εισάγετε το όνομα δικτύου:
firstInstall.wifiKeyboardScreen.password.description;Enter Wi-Fi password:;Εισάγετε τον κωδικό του Wi-Fi:
firstInstall.wifiNetworkSelector.searchAgain;Search again;Αναζητήστε ξανά
firstInstall.helloScreen.title.searchingAccount;One moment;Σύνδεση στην υπηρεσία
firstInstall.conflictedChannelsFoundScreen.title;Channels;Κανάλια
firstInstall.conflictedChannelsFoundScreen.description;Your aerial is picking up multiple regions for %1 %2. Please choose:;Βρέθηκαν πολλαπλά κανάλια <br/> %1 %2. Επιλέξτε:
firstInstall.resolveChannelConflictScreen.title;Channel %1;Κανάλι %1
firstInstall.resolveChannelConflictScreen.description;Please choose one of the following options:;Επιλέξτε ένα από τα παρακάτω:
firstInstall.conflictResolutionConfirmScreen.title;Confirm channels;Επαλήθευση καναλιών
firstInstall.conflictResolutionConfirmScreen.description;Please confirm your chosen channels:;Επιβεβαιώστε τα κανάλια που έχετε επιλέξει:
firstInstall.buttons.pairLater;Pair later;Συγχρονισμός αργότερα
firstInstall.buttons.connect;Connect;Σύνδεση
firstInstall.buttons.ethernet;Ethernet;Σύνδεση με καλώδιο ethernet
firstInstall.buttons.tryAgain;Try again;Επανάληψη
firstInstall.buttons.tryAgainDHCP;Try again with DHCP;Δοκιμάστε ξανά (DHCP)
firstInstall.buttons.connectWifi;Connect with WiFi;Σύνδεση με Wi-Fi
firstInstall.buttons.advanced;Advanced;Προχωρημένες ρυθμίσεις
firstInstall.buttons.continue;Continue;Συνέχεια
firstInstall.buttons.next;Next;Επόμενο
firstInstall.buttons.confirm;Confirm;Επιβεβαίωση
firstInstall.buttons.startScanning;Start scanning;Έναρξη αναζήτησης
firstInstall.buttons.finishSetup;Finish setup;Δείτε TV
firstInstall.buttons.skip;Skip;Μετάβαση
firstInstall.buttons.startWatching;Start watching;Συνέχεια
firstInstall.buttons.autoSelect;Auto select;Αυτόματη επιλογή
firstInstall.buttons.customSelect;Custom select;Χειροκίνητη επιλογή
firstInstall.helpBar.help;Help;Υποστήριξη
keyboard.masterPin.enter.placeholder;Please enter your new 4-digit PIN;Παρακαλώ πληκτρολογήστε το νέο 4ψήφιο PIN
keyboard.masterPin.reEnter.placeholder;Please re-enter your new 4-digit PIN;Παρακαλώ πληκτρολογήστε ξανά το PIN
keyboard.lockedChannels.placeholder;Channel number;Αριθμός καναλιού
firmwareUpdate.title;Please wait while your box updates.;Ο αποκωδικοποιητής είναι σε διαδικασία αναβάθμισης, παρακαλώ περιμέτε
firmwareUpdate.buttonsBar.updateNow;Update now;Αναβαθμίστε τώρα
settings.masterPin;PIN;PIN
settings.masterPin.okay;Okay;OK
settings.masterPin.changeMyPin;Change your PIN;Αλλαγή PIN
settings.masterPin.whats.popup;Your default PIN is 1234;To αρχικό PIN του Vodafone TV είναι 1234
settings.parentalAndPaiment.paymentPin;PIN;PIN
settings.recordings;Recordings;Εγγραφές
settings.recordings.deleteAll;Delete all;Διαγραφή όλων
settings.recordings.delete.dont;Don't delete all;Ακύρωση διαγραφής
settings.recordings.activate.dont;Don't activate;Μην ενεργοποιείτε
settings.recordings.autoDelete;Auto delete;Αυτόματη διαγραφή
settings.recordings.buySpace;Buy space;Αγόρασε ώρες
settings.language;Language;Ρυθμίσεις γλώσσας
settings.accessibility;Accessibility;Προσβασιμότητα
settings.accessibility.audioDescription;Audio description;Ηχητική περιγραφή
settings.accessibility.subtitles;Subtitles;Υπότιτλοι
settings.termsAndConditions;Terms & conditions;Όροι χρήσης
settings.termsAndConditionsPageTitle;Terms & conditions;Όροι χρήσης
settings.systemConfigurations.network;Network;Δίκτυο
settings.systemConfigurations.remote;Remote;Τηλεχειριστήριο
settings.systemConfigurations.tvChannels;TV channels;Κανάλια
settings.systemConfigurations.audioAndVisual;Audio & visual;Ήχος & Εικόνα
settings.systemConfigurations.clockSettings;Clock settings;Ρυθμίσεις ώρας
settings.clockSettings.hourFormats.12;am / pm;πμ / μμ
settings.clockSettings.hourFormats.24;24 hour;24
settings.systemConfigurations.updates;Updates;Αναβαθμίσεις
settings.systemConfigurations.updates.updateAvailable;Software update available. Please wait a few minutes while your TV box restarts and installs the update.;Διαθέσιμη αναβάθμιση.
settings.systemConfigurations.information;Information;Πληροφορίες
settings.informations.buttons.general;General;Αποκωδικοποιητής
settings.informations.buttons.audioAndVideo;Audio & video;Ήχος και Εικόνα
settings.informations.buttons.tvQuality;TV quality;Ποιότητα εικόνας
settings.informations.title;Box information;Πληροφορίες αποκωδικοποιητή
settings.informations.brandName;Brand name;Κατασκευαστής
settings.informations.modelName;Model name;Μοντέλο
settings.informations.hardwareVersion;Hardware version;Έκδοση υλικού
settings.informations.softwareVersion;Software version;Λογισμικό
settings.informations.uiVersion;UI version;Έκδοση UI
settings.informations.updateDate;Last system software update:;Τελευταία αναβάθμιση λογισμικού
settings.informations.epgData;EPG data;Πληροφορίες προγράμματος
settings.informations.householdID;Household ID;Αναγνωριστικό κατοικίας.
settings.informations.usedCapacityEMMC;Used/capacity eMMC;Used/Capacity eMMC
settings.informations.usbBack;USB back;USB
settings.informations.activeConnection;Active connection;Ενεργή Σύνδεση
settings.informations.ip;Current IP address;Διεύθυνση IP
settings.informations.wired.mac;Ethernet MAC address;Διεύθυνση MAC τοπικού δικτύου
settings.informations.wireless.mac;Wireless MAC address;Διεύθυνση MAC ασύρματου δικτύου
settings.informations.serialNumber;Serial number;Σειριακός αριθμός
settings.informations.router;Router;Ρούτερ
settings.informations.speedtest;Speed test;Έλεγχος ταχύτητας
settings.informations.operationalMode;Operational mode;Κατάσταση λειτουργίας
settings.informations.videoConnectionMode;Video connection mode;Λειτουργία Βίντεο
settings.informations.tvModel;TV model;Μοντέλο TV
settings.informations.audioConnectionMode;Audio connection mode;Σύνδεση ήχου
settings.informations.audioOutput;Audio output;Ήχος
settings.informations.remoteControlMode;Remote control mode;Σύνδεση τηλεκοντρόλ
settings.informations.channelNameDVBT;Channel name (DVB-T);Όνομα επίγειου καναλιού
settings.informations.frequency;Frequency;Συχνότητα
settings.informations.signalStrength;Signal strength;Ισχύς σήματος
settings.informations.ber;BER;BER
settings.informations.channelNameOTT;Channel name (over the top);Ονομασία καναλιού
settings.informations.abr;ABR;ABR
settings.informations.environment;Environment;Περιβάλλον
settings.parentalControls;Parental controls;Γονικός έλεγχος
settings.parentalControls.whats.popup;Your default PIN is 1234. When it’s turned on, you’ll be asked to enter it when you make payments and some settings changes like turning parental controls on/off.;Το  PIN είναι %1, σας προτείνουμε να το αλλάξετε. Είναι απαραίτητο για να μπορείτε να κάνετε ενοικιάσεις και για να δείτε περιεχόμενο με ενεργοποιημένο τον γονικό έλεγχο
settings.lockedChannels.customise;Customise;Προσαρμογή
settings.lockedChannels.unlockAll;Unlock all;Ξεκλείδωμα όλων
settings.lockedChannels.locked;Locked;Κλειδωμένο
settings.tvChannels.premiumChannels;Premium channels;Συνδρομητικά κανάλια
settings.enterNewPin;Enter new PIN;Πληκτρολογήστε το νέο PIN
settings.reEnterNewPin;Re-enter new PIN;Πληκτρολογήστε ξανά το νέο PIN
settings.pinConfirmed;PIN confirmed;PIN OK
settings.ageRatings.universal;Universal;Κατάλληλο για όλους
settings.ageRatings.u;U;Κατάλληλο για όλους
settings.ageRatings.pg;PG;Κατάλληλο, απαραίτητη η γονική συναίνεση
settings.ageRatings.12;12;Κατάλληλο, επιθυμητή η γονική συναίνεση
settings.ageRatings.15;15;Κατάλληλο για ανηλίκους άνω των 15 ετών
settings.ageRatings.18;18;Κατάλληλο μόνο για ενηλίκους
settings.ageRatings.off;Off;Ανενεργό
settings.network.searchAgain;Search again;Αναζητήστε ξανά
settings.network.wps.popup;Press the WPS button on your TV box, then on your router to automatically start pairing.;Πατήστε το WPS πλήκτρο στον αποκωδικοποιητή σας και μετά το ίδιο στο ρούτερ σας
settings.network.lan.connect;Connect;Σύνδεση
settings.network.advanced;Advanced;Προχωρημένες ρυθμίσεις
settings.network.advanced.ipAddress;IP address;Διεύθυνση IP
settings.remote;Remote;Τηλεχειριστήριο
settings.remotePairing;Remote pairing;Σύνδεση τηλεχειριστηρίου
settings.remote.batteryStatus;Battery status;Επίπεδα Μπαταρίας
settings.remote.batteryStatus.fine;Your battery status is OK;Επίπεδο Μπαταρίας ΟΚ
settings.remote.batteryStatus.sheetTitleview;View status;Κατάσταση μπαταρίας
settings.remote.batteryStatus.sheetSubtitleview;Battery status;Επίπεδο Μπαταρίας
settings.remote.connectionType;Connection type;Τύπος σύνδεσης
settings.remote.connectionType.IR;IR;IR
settings.remote.connectionType.infrared;Infrared;Υπέρυθρες
settings.remote.connectionType.RF;RF;RF
